City,2010_White,2010_Black,2010_Native,2010_Asian,2010_PacIsle,2010_Other,2010_Mixed,2010_HispLat,2010_HH_Inc,2010_Fam_Inc,2010_Male_Inc,2010_Female_Inc,2010_PerCap_Inc,2010_Fam_Pov,2010_Pop_Pov,2010_Child_Pov,2010_Senior_Pov
Riverside,87.50%,10.60%,0.20%,0.70%,,0.10%,0.90%,1.10%,"$59,250.00","$65,057.00","$52,300.00","$31,713.00","$27,452.00",6.40%,9.00%,14.20%,6.00%
Riverview,93.94%,1.01%,1.01%,,1.01%,,3.03%,2.02%,"$21,667.00","$22,083.00","$26,250.00","$28,750.00","$13,783.00",28.00%,21.80%,15.40%,10.50%
Roanoke,57.60%,40.50%,0.20%,0.60%,,0.20%,0.90%,1.20%,"$30,073.00","$37,007.00","$35,096.00","$31,406.00","$20,286.00",25.80%,31.00%,47.70%,13.50%
Robertsdale,85.30%,5.40%,0.80%,0.50%,,6.10%,1.90%,9.20%,"$41,750.00","$47,253.00","$41,822.00","$26,239.00","$20,696.00",8.10%,10.10%,12.20%,9.70%
Rock Creek,97.50%,0.80%,0.70%,0.10%,,0.00%,0.80%,0.00%,"$43,370.00","$44,321.00","$44,500.00","$38,244.00","$19,878.00",8.40%,8.00%,8.00%,0.00%
Rock Mills,97.63%,2.22%,,,,0.15%,,1.63%,"$40,714.00","$48,393.00","$31,944.00","$20,117.00","$13,093.00",12.30%,16.20%,15.40%,52.30%
Rockford,65.65%,32.48%,,,0.23%,,1.64%,1.17%,"$20,000.00","$32,125.00","$30,000.00","$17,031.00","$13,350.00",24.30%,24.50%,27.60%,16.30%
Rockville,,,,,,,,,,,,,,,,,
Rogersville,91.20%,6.10%,1.00%,0.60%,,0.20%,0.80%,1.70%,"$32,727.00","$44,803.00","$44,219.00","$38,229.00","$19,605.00",12.20%,12.80%,12.50%,10.80%
Rosa,99.68%,,0.32%,,,,,0.64%,"$40,000.00","$56,563.00","$31,250.00","$30,625.00","$17,042.00",6.20%,7.50%,14.50%,3.40%
Russellville,73.68%,11.25%,0.35%,0.12%,0.27%,7.54%,1.17%,12.64%,"$25,333.00","$35,799.00","$27,238.00","$18,551.00","$14,871.00",16.70%,22.20%,29.20%,24.90%
Rutledge,71.01%,28.36%,,,,,0.63%,,"$17,500.00","$22,500.00","$25,179.00","$18,583.00","$10,226.00",30.90%,30.20%,33.60%,26.50%
Safford,,,,,,,,,,,,,,,,,
Saginaw,,,,,,,,,,,,,,,,,
Saint Clair Springs,,,,,,,,,,,,,,,,,
Saint Florian,98.81%,0.60%,,0.60%,,,,,"$46,250.00","$48,125.00","$36,364.00","$21,250.00","$17,522.00",9.20%,9.80%,16.50%,7.50%
Saint Stephens,,,,,,,,,,,,,,,,,
Saks,75.70%,19.40%,0.40%,0.80%,0.00%,1.70%,2.00%,3.40%,"$43,955.00","$53,129.00","$45,637.00","$30,774.00","$20,968.00",12.20%,15.70%,19.50%,9.10%
Salem,,,,,,,,,,,,,,,,,
Samantha,,,,,,,,,,,,,,,,,
Samson,73.30%,17.90%,1.10%,,,5.20%,2.10%,8.30%,"$18,768.00","$25,060.00","$29,167.00","$19,682.00","$11,606.00",31.60%,32.50%,44.70%,19.40%
Sand Rock,99.41%,0.39%,,,,,,,"$35,179.00","$44,063.00","$28,523.00","$17,375.00","$18,845.00",10.90%,12.60%,16.50%,19.70%
Sanford,97.77%,,0.74%,,,,1.49%,1.86%,"$20,139.00","$25,313.00","$19,844.00","$13,333.00","$10,558.00",19.10%,19.10%,20.80%,11.60%
Saraland,83.70%,12.00%,0.80%,0.60%,0.10%,1.50%,1.40%,2.50%,"$48,721.00","$54,845.00","$44,201.00","$31,235.00","$22,192.00",8.80%,14.90%,28.30%,7.00%
Sardis City,98.20%,0.40%,0.10%,,0.00%,,0.60%,0.70%,"$45,714.00","$59,352.00","$44,091.00","$28,333.00","$22,767.00",6.20%,11.40%,8.90%,33.50%
Satsuma,88.70%,7.90%,1.20%,0.60%,,0.40%,1.10%,1.10%,"$59,289.00","$63,333.00","$46,938.00","$33,791.00","$25,087.00",0.00%,0.70%,0.00%,1.50%
Sawyerville,,,,,,,,,,,,,,,,,
Sayre,,,,,,,,,,,,,,,,,
Scottsboro,89.80%,4.60%,0.80%,0.80%,0.20%,2.00%,1.80%,3.50%,"$36,554.00","$48,803.00","$35,909.00","$25,403.00","$21,065.00",14.60%,16.80%,23.00%,14.60%
Seale,,,,,,,,,,,,,,,,,
Section,93.89%,0.78%,2.34%,,,0.13%,2.86%,0.52%,"$31,500.00","$37,115.00","$29,205.00","$20,781.00","$17,036.00",15.00%,16.30%,25.50%,12.40%
Selfville,,,,,,,,,,,,,,,,,
Selma,18.00%,80.30%,0.20%,0.60%,,0.10%,0.80%,0.60%,"$21,261.00","$28,345.00","$29,769.00","$18,129.00","$13,369.00",26.90%,31.70%,41.80%,28.00%
Selmont-West Selmont,4.50%,93.90%,0.10%,0.00%,,0.00%,0.40%,1.50%,"$25,064.00","$26,741.00","$21,536.00","$23,101.00","$9,798.00",36.10%,34.00%,39.30%,36.90%
Seminole,,,,,,,,,,,,,,,,,
Semmes,,,,,,,,,,,,,,,,,
Sheffield,69.70%,26.80%,0.30%,0.30%,0.10%,1.10%,1.70%,2.30%,"$34,910.00","$42,718.00","$39,692.00","$25,464.00","$19,619.00",16.40%,21.10%,36.30%,5.70%
Shelby,,,,,,,,,,,,,,,,,
Shiloh,97.58%,,1.38%,,,0.35%,0.69%,0.69%,"$34,861.00","$36,696.00","$29,219.00","$25,893.00","$28,431.00",4.30%,9.70%,8.20%,15.20%
Shoal Creek,,,,,,,,,,,,,,,,,
Shorter,16.00%,82.00%,1.00%,,,,1.00%,,"$18,929.00","$37,188.00","$26,667.00","$17,000.00","$10,630.00",28.00%,31.00%,47.00%,43.00%
Silas,71.83%,25.71%,,,,0.19%,2.27%,0.19%,"$20,882.00","$25,833.00","$27,955.00","$18,500.00","$14,074.00",16.50%,19.00%,27.10%,11.60%
Silverhill,98.05%,,0.16%,0.65%,,,1.14%,1.46%,"$42,083.00","$51,964.00","$30,417.00","$25,938.00","$20,723.00",3.80%,4.80%,4.60%,5.10%
Sims Chapel,,,,,,,,,,,,,,,,,
Sipsey,68.12%,31.34%,0.18%,,,0.18%,0.18%,0.18%,"$23,000.00","$26,500.00","$25,625.00","$20,750.00","$8,644.00",23.30%,24.80%,26.00%,31.30%
Skyline,94.90%,,2.73%,0.12%,,,2.25%,0.71%,"$29,250.00","$31,985.00","$28,026.00","$20,341.00","$12,780.00",9.40%,13.70%,12.10%,22.00%
Slocomb,72.20%,22.60%,0.80%,0.10%,,2.60%,1.70%,4.70%,"$32,212.00","$39,496.00","$25,962.00","$21,250.00","$12,772.00",20.60%,23.80%,32.10%,29.50%
Smiths Station,80.30%,15.90%,0.70%,0.50%,0.00%,0.60%,2.00%,2.80%,"$47,969.00","$54,698.00","$38,294.00","$25,394.00","$20,678.00",7.50%,9.80%,13.70%,12.10%
Smoke Rise,98.00%,,0.50%,0.10%,,,0.80%,0.70%,"$71,446.00","$80,333.00","$42,969.00","$41,818.00","$27,909.00",0.00%,0.00%,0.00%,0.00%
Snead,96.80%,0.10%,0.50%,0.10%,,0.80%,1.70%,1.80%,"$36,029.00","$41,563.00","$23,558.00","$13,799.00","$15,891.00",9.80%,15.00%,15.80%,20.20%
Snow Hill,,,,,,,,,,,,,,,,,
Somerville,91.35%,5.76%,1.73%,,,0.29%,0.86%,0.58%,"$26,250.00","$31,250.00","$29,107.00","$18,958.00","$13,747.00",13.30%,13.70%,11.00%,32.10%
South Vinemont,94.59%,0.47%,1.41%,,,0.24%,3.29%,4.00%,"$26,806.00","$35,000.00","$30,250.00","$16,250.00","$16,141.00",11.10%,16.50%,10.10%,18.20%
Southside,96.54%,1.46%,0.18%,0.67%,,0.40%,0.71%,1.27%,"$52,464.00","$58,427.00","$41,664.00","$29,375.00","$21,936.00",2.20%,3.60%,3.10%,5.40%
Spanish Fort,91.00%,4.80%,0.60%,1.40%,,0.70%,1.40%,2.40%,"$65,244.00","$76,469.00","$58,958.00","$36,695.00","$32,856.00",1.80%,3.20%,1.10%,2.80%
Spring Garden,,,,,,,,,,,,,,,,,
Spring Hill,,,,,,,,,,,,,,,,,
Spring Valley,,,,,,,,,,,,,,,,,
Springville,93.60%,4.70%,0.30%,0.40%,0.10%,,0.90%,0.70%,"$66,667.00","$75,679.00","$60,893.00","$31,782.00","$27,526.00",7.90%,9.20%,11.60%,9.90%
Sprott,,,,,,,,,,,,,,,,,
Spruce Pine,,,,,,,,,,,,,,,,,
Standing Rock,,,,,,,,,,,,,,,,,
Stapleton,,,,,,,,,,,,,,,,,
Steele,94.60%,,,0.40%,,3.30%,1.20%,5.10%,"$36,023.00","$41,719.00","$35,776.00","$29,583.00","$18,922.00",16.30%,20.60%,44.80%,6.70%
Sterrett,,,,,,,,,,,,,,,,,
Stevenson,73.80%,17.40%,1.10%,0.40%,,2.60%,4.30%,3.90%,"$30,241.00","$37,634.00","$31,210.00","$22,917.00","$14,647.00",26.60%,31.80%,44.90%,25.30%
Stewartville,,,,,,,,,,,,,,,,,
Stockton,,,,,,,,,,,,,,,,,
Straight Mountain,,,,,,,,,,,,,,,,,
Sulligent,78.30%,19.30%,,,,0.30%,2.00%,0.80%,"$22,469.00","$34,231.00","$36,125.00","$30,167.00","$17,094.00",18.10%,18.70%,17.30%,15.80%
Sumiton,93.20%,4.00%,0.40%,0.20%,0.00%,0.60%,1.60%,0.80%,"$34,036.00","$45,028.00","$43,500.00","$27,813.00","$19,162.00",15.40%,18.40%,19.40%,9.60%
Summerdale,90.23%,4.89%,1.07%,0.15%,,0.92%,2.75%,2.29%,"$27,917.00","$32,159.00","$26,563.00","$19,167.00","$13,775.00",13.70%,16.40%,28.30%,4.90%
Summit,,,,,,,,,,,,,,,,,
Susan Moore,93.48%,0.14%,0.83%,0.14%,,5.41%,,5.96%,"$35,417.00","$44,167.00","$32,431.00","$19,688.00","$14,540.00",10.30%,10.90%,7.80%,28.90%
Sweet Water,91.10%,7.80%,,,,1.20%,,1.20%,,,,,,,,,
Sylacauga,69.17%,28.91%,0.26%,0.29%,0.06%,0.40%,0.91%,0.97%,"$29,533.00","$40,275.00","$32,092.00","$21,990.00","$16,209.00",16.60%,21.30%,33.60%,16.70%
Sylvan Springs,97.30%,1.40%,0.50%,0.00%,,,0.70%,0.50%,"$60,938.00","$71,944.00","$56,250.00","$37,692.00","$25,653.00",5.40%,7.50%,12.00%,6.00%
Sylvania,86.70%,0.20%,0.80%,0.20%,,7.50%,4.40%,11.20%,"$34,079.00","$40,648.00","$35,417.00","$27,857.00","$17,793.00",22.30%,24.00%,34.10%,18.00%
Talladega Springs,91.13%,6.45%,0.81%,,,,1.61%,1.61%,"$35,833.00","$41,250.00","$36,042.00","$14,167.00","$29,556.00",11.10%,17.20%,38.50%,29.60%
Talladega,47.70%,48.70%,0.30%,0.50%,0.00%,1.60%,1.20%,3.40%,"$32,449.00","$38,147.00","$31,957.00","$24,209.00","$15,146.00",22.70%,25.50%,38.80%,19.00%
Tallassee,72.40%,23.40%,0.40%,0.60%,0.10%,1.70%,1.30%,3.00%,"$32,941.00","$56,910.00","$35,658.00","$34,018.00","$17,944.00",12.50%,17.20%,18.90%,14.20%
Tannehill,,,,,,,,,,,,,,,,,
Tanner,,,,,,,,,,,,,,,,,
Tarrant,39.00%,52.30%,0.80%,0.30%,0.80%,5.30%,1.50%,9.00%,"$28,385.00","$30,938.00","$25,451.00","$25,521.00","$13,990.00",25.00%,30.20%,50.30%,6.90%
Taylor,87.50%,7.20%,0.80%,0.10%,,2.40%,2.10%,5.20%,"$43,603.00","$49,500.00","$31,795.00","$29,276.00","$16,833.00",16.90%,21.00%,32.30%,10.50%
Tensaw,,,,,,,,,,,,,,,,,
Theodore,79.70%,13.30%,1.10%,2.40%,,1.10%,2.20%,3.20%,"$41,473.00","$44,950.00","$33,673.00","$23,658.00","$17,384.00",17.90%,22.60%,37.80%,10.80%
Thomaston,48.56%,50.13%,,,,,1.31%,2.35%,"$25,972.00","$31,250.00","$32,404.00","$21,750.00","$13,390.00",22.10%,29.20%,43.20%,33.80%
Thomasville,47.20%,51.70%,0.40%,0.80%,,0.50%,,1.30%,"$26,549.00","$32,476.00","$32,212.00","$21,319.00","$14,916.00",,,,
Thorsby,89.70%,5.70%,0.10%,0.60%,0.10%,3.30%,0.60%,5.70%,"$45,179.00","$52,813.00","$43,235.00","$37,772.00","$21,269.00",9.50%,11.90%,19.60%,7.60%
Tibbie,,,,,,,,,,,,,,,,,
Tidmore Bend,,,,,,,,,,,,,,,,,
Tillmans Corner,82.20%,11.40%,0.60%,2.10%,0.10%,1.60%,1.90%,3.80%,"$38,031.00","$44,784.00","$38,617.00","$25,544.00","$18,291.00",18.40%,20.40%,28.20%,8.50%
Town Creek,52.40%,36.00%,2.10%,0.10%,,4.40%,5.10%,6.50%,"$19,120.00","$26,667.00","$35,875.00","$26,667.00","$12,661.00",32.50%,35.50%,44.40%,36.70%
Toxey,86.84%,13.16%,,,,,,,"$23,750.00","$27,143.00","$36,250.00","$17,188.00","$16,244.00",7.10%,13.80%,22.90%,29.40%
Trafford,98.47%,0.96%,,,,0.19%,0.38%,0.19%,"$23,611.00","$32,292.00","$29,375.00","$18,750.00","$11,926.00",17.00%,21.30%,34.90%,22.00%
Triana,11.35%,86.46%,1.09%,0.44%,,,0.66%,0.22%,"$26,250.00","$30,750.00","$26,875.00","$16,538.00","$13,012.00",27.30%,27.60%,44.60%,7.50%
Trinity,88.60%,6.70%,1.10%,0.20%,,1.70%,1.60%,3.30%,"$61,060.00","$71,818.00","$54,250.00","$34,205.00","$28,628.00",0.90%,2.70%,1.70%,3.70%
Troy,55.00%,39.01%,0.40%,3.36%,0.04%,0.78%,1.38%,1.97%,"$25,352.00","$39,601.00","$29,190.00","$20,368.00","$15,589.00",17.70%,23.50%,27.50%,19.80%
Trussville,90.30%,6.60%,0.20%,1.60%,0.10%,0.50%,0.80%,1.30%,,,,,,,,,
Tuscaloosa,53.80%,41.50%,0.20%,1.80%,0.00%,1.50%,1.10%,3.00%,"$31,874.00","$49,588.00","$36,231.00","$30,552.00","$21,042.00",17.00%,29.80%,32.50%,12.40%
Tuscumbia,75.91%,21.16%,0.39%,0.33%,,0.48%,1.70%,1.37%,"$28,793.00","$39,831.00","$32,159.00","$18,860.00","$18,302.00",11.10%,15.10%,21.70%,19.92%
Tuskegee,1.90%,95.80%,0.10%,0.50%,0.00%,0.30%,1.30%,1.30%,"$24,251.00","$43,472.00","$40,653.00","$26,631.00","$15,471.00",22.20%,31.60%,40.00%,10.20%
Twin,,,,,,,,,,,,,,,,,
Underwood-Petersville,91.30%,6.20%,0.20%,0.60%,,0.40%,0.57%,1.00%,"$39,774.00","$47,356.00","$46,950.00","$29,167.00","$21,534.00",9.40%,11.20%,10.60%,1.20%
Union Grove,97.87%,,1.06%,1.06%,,,,,"$36,250.00","$36,250.00","$32,292.00","$19,375.00","$15,467.00",15.40%,9.80%,0.00%,20.00%
Union Springs,12.90%,71.80%,0.20%,0.40%,1.10%,12.80%,0.80%,17.00%,"$22,476.00","$26,167.00","$37,689.00","$21,372.00","$20,485.00",39.00%,44.40%,73.90%,19.40%
Union,7.93%,92.07%,,,,,,,"$22,031.00","$28,125.00","$30,625.00","$17,083.00","$10,842.00",36.40%,32.60%,42.50%,60.00%
Uniontown,9.10%,90.60%,,,,,,0.50%,"$15,054.00","$17,473.00","$34,038.00","$23,438.00","$9,452.00",43.10%,45.20%,55.20%,51.50%
Uriah,,,,,,,,,,,,,,,,,
Valhermoso Springs,,,,,,,,,,,,,,,,,
Valley Grande,75.20%,23.00%,0.40%,0.40%,,0.20%,0.80%,,"$57,432.00","$64,461.00","$42,456.00","$37,722.00","$25,767.00",8.70%,8.80%,15.10%,6.40%
Valley Head,92.47%,2.29%,0.65%,0.16%,0.16%,,4.26%,2.29%,"$29,013.00","$36,250.00","$28,558.00","$17,222.00","$13,582.00",12.20%,15.90%,21.40%,21.50%
Valley,64.00%,33.00%,0.10%,1.20%,,0.60%,1.10%,1.70%,"$31,501.00","$40,013.00","$36,345.00","$29,905.00","$15,928.00",18.20%,20.70%,28.40%,12.90%
Vance,88.80%,7.20%,0.40%,,,1.70%,1.30%,5.60%,"$55,938.00","$70,114.00","$49,583.00","$38,450.00","$24,406.00",3.40%,4.50%,2.10%,8.70%
Vandiver,,,,,,,,,,,,,,,,,
Verbena,,,,,,,,,,,,,,,,,
Vernon,79.40%,18.10%,0.30%,0.00%,,,1.20%,1.70%,"$34,236.00","$43,950.00","$41,339.00","$21,331.00","$16,814.00",15.90%,19.60%,22.20%,10.60%
Vestavia Hills,90.40%,3.80%,0.20%,3.80%,0.10%,,1.00%,2.50%,,,,,,,,,
Village Springs,,,,,,,,,,,,,,,,,
Vina,97.50%,0.50%,,,,0.25%,1.75%,1.75%,"$18,594.00","$20,625.00","$23,000.00","$19,444.00","$10,662.00",46.10%,47.50%,69.30%,52.90%
Vincent,78.70%,19.80%,0.40%,0.10%,,0.10%,1.00%,0.70%,"$43,125.00","$54,640.00","$44,310.00","$31,467.00","$22,782.00",2.70%,6.20%,0.00%,14.40%
Vinegar Bend,,,,,,,,,,,,,,,,,
Vineland,,,,,,,,,,,,,,,,,
Vinemont,,,,,,,,,,,,,,,,,
Vredenburgh,10.70%,88.99%,,,,,0.31%,,"$27,321.00","$27,917.00","$26,500.00","$10,833.00","$5,892.00",27.70%,31.00%,35.30%,30.40%
Wadley,65.16%,33.28%,,,,1.09%,0.47%,2.19%,"$17,500.00","$24,219.00","$26,563.00","$18,750.00","$9,076.00",29.40%,30.90%,38.60%,28.20%
Wagarville,,,,,,,,,,,,,,,,,
Waldo,55.16%,44.48%,,,,,0.36%,,"$26,563.00","$31,750.00","$31,364.00","$19,375.00","$13,743.00",19.60%,17.50%,15.40%,22.20%
Wallace,,,,,,,,,,,,,,,,,
Walnut Grove,98.31%,,0.14%,0.14%,,,1.41%,0.42%,"$26,688.00","$29,519.00","$25,982.00","$17,279.00","$12,372.00",15.30%,17.40%,19.90%,17.50%
Warrior,83.10%,14.20%,0.20%,0.40%,,0.20%,1.80%,0.80%,"$35,851.00","$44,583.00","$43,504.00","$30,081.00","$25,263.00",11.40%,12.50%,6.40%,16.20%
Waterloo,97.12%,,,,,1.44%,1.44%,1.44%,"$25,536.00","$31,000.00","$33,750.00","$18,750.00","$15,167.00",11.30%,9.70%,3.20%,19.00%
Watson,,,,,,,,,,,,,,,,,
Waugh,,,,,,,,,,,,,,,,,
Waverly,80.98%,19.02%,,,,,,,"$32,917.00","$38,750.00","$26,625.00","$16,071.00","$18,406.00",3.70%,7.60%,0.00%,0.00%
Weaver,81.40%,13.60%,0.70%,1.10%,0.30%,0.50%,2.50%,3.00%,"$40,791.00","$48,478.00","$34,125.00","$25,573.00","$20,078.00",10.90%,11.50%,12.20%,5.10%
Webb,74.80%,18.70%,0.70%,,,,1.50%,6.20%,"$34,650.00","$38,352.00","$32,847.00","$18,938.00","$15,124.00",13.20%,15.40%,20.20%,13.70%
Wedowee,68.70%,30.20%,0.12%,0.49%,,0.24%,0.24%,0.12%,"$26,136.00","$37,292.00","$24,250.00","$22,250.00","$12,638.00",17.10%,20.90%,25.70%,21.40%
Weogufka,,,,,,,,,,,,,,,,,
West Blocton,85.60%,13.20%,0.40%,,,0.10%,0.60%,0.10%,"$34,844.00","$59,875.00","$37,384.00","$31,167.00","$22,224.00",11.30%,11.40%,12.20%,12.00%
West End-Cobb Town,76.10%,20.90%,0.50%,0.20%,0.00%,0.40%,1.90%,1.60%,"$23,269.00","$30,469.00","$26,438.00","$28,719.00","$13,201.00",24.50%,28.30%,45.30%,14.10%
West Jefferson,99.71%,,,,,,0.29%,,"$47,813.00","$53,750.00","$36,406.00","$30,000.00","$19,256.00",1.80%,2.60%,0.00%,0.00%
West Point,100.00%,,,,,,,0.68%,"$28,295.00","$36,875.00","$24,821.00","$19,250.00","$14,963.00",11.00%,12.70%,17.30%,8.80%
Westover,,,,,,,,,,,,,,,,,
Wetumpka,64.88%,32.83%,0.40%,0.40%,0.07%,1.38%,0.94%,2.32%,"$35,536.00","$41,500.00","$32,403.00","$23,234.00","$15,729.00",7.70%,11.70%,19.50%,10.70%
Whatley,,,,,,,,,,,,,,,,,
White Hall,1.38%,98.03%,0.10%,0.20%,,,0.30%,0.79%,"$18,158.00","$21,875.00","$20,885.00","$18,125.00","$10,062.00",29.40%,31.70%,35.80%,47.50%
White Plains,,,,,,,,,,,,,,,,,
Whitesboro,,,,,,,,,,,,,,,,,
Wilmer,,,,,,,,,,,,,,,,,
Wilsonville,92.52%,5.22%,0.90%,0.77%,,0.26%,0.32%,0.58%,"$42,105.00","$48,409.00","$40,263.00","$25,598.00","$21,112.00",4.50%,7.40%,7.80%,5.80%
Wilton,73.28%,23.62%,0.86%,0.17%,,,2.07%,3.28%,"$33,750.00","$40,833.00","$30,893.00","$20,500.00","$15,056.00",9.40%,12.90%,27.50%,10.90%
Winfield,92.90%,4.50%,0.30%,0.30%,,0.90%,1.00%,2.00%,"$34,617.00","$43,692.00","$38,250.00","$32,250.00","$19,386.00",16.40%,18.60%,21.10%,24.40%
Winterboro,,,,,,,,,,,,,,,,,
Woodland,88.54%,11.46%,,,,,,,"$31,500.00","$41,250.00","$43,750.00","$24,375.00","$17,106.00",15.20%,14.90%,22.70%,5.40%
Woodstock,93.00%,3.40%,,,,,1.00%,2.10%,"$48,750.00","$52,417.00","$42,500.00","$32,885.00","$20,855.00",8.00%,9.20%,8.70%,5.90%
Woodville,96.98%,,1.71%,0.13%,,,1.18%,0.92%,"$35,000.00","$37,426.00","$27,946.00","$17,292.00","$15,796.00",9.70%,11.50%,11.50%,20.50%
Wren,,,,,,,,,,,,,,,,,
Yellow Bluff,5.52%,92.82%,1.10%,,,,0.55%,1.10%,"$11,389.00","$13,125.00","$68,750.00","$16,250.00","$9,322.00",43.40%,47.50%,50.00%,58.30%
Yellow Pine,,,,,,,,,,,,,,,,,
York,13.30%,85.30%,0.20%,0.10%,,,0.20%,1.00%,"$19,000.00","$19,152.00","$38,654.00","$22,007.00","$13,577.00",41.50%,42.70%,63.10%,17.40%
