City,2010_White,2010_Black,2010_Native,2010_Asian,2010_PacIsle,2010_Other,2010_Mixed,2010_HispLat,2010_HH_Inc,2010_Fam_Inc,2010_Male_Inc,2010_Female_Inc,2010_PerCap_Inc,2010_Fam_Pov,2010_Pop_Pov,2010_Child_Pov,2010_Senior_Pov
Coosada,57.70%,40.00%,0.40%,0.20%,,1.10%,0.70%,2.90%,"$47,904.00","$53,462.00","$41,336.00","$24,659.00","$18,636.00",10.60%,15.50%,18.80%,12.70%
Cordova,83.40%,14.50%,0.80%,0.10%,0.00%,0.30%,1.00%,0.70%,"$23,472.00","$39,185.00","$40,868.00","$35,147.00","$16,016.00",21.30%,29.60%,33.30%,20.20%
Corner,,,,,,,,,,,,,,,,,
Cottondale,,,,,,,,,,,,,,,,,
Cottonton,,,,,,,,,,,,,,,,,
Cottonwood,71.80%,25.40%,0.60%,,,,1.90%,1.10%,"$26,570.00","$27,465.00","$28,942.00","$27,857.00","$15,090.00",26.10%,28.00%,38.50%,13.50%
County Line,95.72%,2.72%,,,,,1.56%,1.17%,"$35,625.00","$37,500.00","$28,500.00","$21,250.00","$13,621.00",13.80%,17.40%,30.40%,9.10%
Courtland,54.23%,40.44%,2.08%,0.26%,0.13%,,2.86%,0.91%,"$27,500.00","$36,000.00","$31,250.00","$17,188.00","$14,456.00",18.10%,20.20%,22.70%,32.90%
Cowarts,80.80%,14.60%,0.70%,0.10%,,0.60%,3.20%,1.70%,"$36,014.00","$47,625.00","$42,016.00","$29,450.00","$19,808.00",10.40%,14.60%,22.80%,17.30%
Coy,,,,,,,,,,,,,,,,,
Cragford,,,,,,,,,,,,,,,,,
Crane Hill,,,,,,,,,,,,,,,,,
Crawford,,,,,,,,,,,,,,,,,
Creola,84.70%,9.80%,1.80%,0.10%,,1.90%,1.70%,3.10%,"$41,786.00","$48,009.00","$45,729.00","$36,902.00","$19,202.00",14.70%,18.30%,29.10%,14.40%
Cromwell,,,,,,,,,,,,,,,,,
Cropwell,,,,,,,,,,,,,,,,,
Crosston,,,,,,,,,,,,,,,,,
Crossville,87.20%,0.40%,1.90%,0.20%,0.10%,6.30%,2.40%,8.30%,"$31,394.00","$44,667.00","$27,708.00","$20,461.00","$14,326.00",11.00%,15.20%,21.50%,29.30%
Cuba,85.00%,13.00%,0.60%,,,,1.20%,0.30%,"$50,795.00","$57,500.00","$36,500.00","$20,179.00","$21,130.00",3.30%,6.00%,10.10%,13.90%
Cullman,93.40%,0.01%,0.30%,0.90%,0.05%,,1.10%,8.20%,"$29,164.00","$41,313.00","$32,863.00","$21,647.00","$18,484.00",9.40%,13.20%,12.30%,18.50%
Cullomburg,,,,,,,,,,,,,,,,,
Cusseta,,,,,,,,,,,,,,,,,
Dadeville,50.20%,47.50%,0.30%,0.60%,,0.30%,1.10%,0.90%,"$35,319.00","$38,824.00","$32,031.00","$24,965.00","$15,923.00",16.90%,19.40%,27.90%,15.20%
Daleville,66.20%,22.60%,1.10%,2.70%,0.20%,2.90%,4.30%,10.10%,"$47,536.00","$48,824.00","$47,588.00","$30,167.00","$23,663.00",11.10%,13.80%,19.70%,12.90%
Dallas,,,,,,,,,,,,,,,,,
Danville,,,,,,,,,,,,,,,,,
Daphne,84.10%,11.80%,0.40%,1.51%,0.01%,0.90%,1.20%,2.90%,"$52,603.00","$61,563.00","$46,576.00","$29,052.00","$25,597.00",2.60%,4.50%,4.50%,7.00%
Dauphin Island,97.30%,0.40%,1.00%,0.20%,,,1.00%,0.70%,"$56,731.00","$54,844.00","$47,308.00","$37,292.00","$26,771.00",11.40%,15.30%,21.50%,0.00%
Daviston,82.02%,17.98%,,,,,,1.50%,"$31,250.00","$37,500.00","$26,250.00","$16,875.00","$14,239.00",15.90%,18.40%,15.70%,20.00%
Dawson,,,,,,,,,,,,,,,,,
Dayton,35.00%,65.00%,,,,,,,"$12,500.00","$6,250.00","$32,917.00","$30,417.00","$10,235.00",66.70%,58.70%,50.00%,50.00%
DeArmanville,,,,,,,,,,,,,,,,,
Deatsville,77.60%,19.40%,,,,0.30%,2.30%,,"$59,853.00","$68,929.00","$59,125.00","$26,250.00","$23,376.00",0.00%,0.20%,0.00%,0.00%
Decatur,66.50%,21.70%,0.70%,0.90%,0.10%,7.90%,2.20%,12.40%,"$43,090.00","$55,158.00","$42,146.00","$27,477.00","$23,615.00",12.80%,17.50%,28.30%,11.10%
Deer Park,,,,,,,,,,,,,,,,,
Delmar,,,,,,,,,,,,,,,,,
Delta,,,,,,,,,,,,,,,,,
Demopolis,47.30%,50.10%,0.10%,0.50%,0.00%,1.10%,0.80%,2.40%,"$35,583.00","$49,973.00","$50,734.00","$31,520.00","$21,116.00",19.10%,26.80%,25.40%,27.50%
Detroit,79.35%,20.65%,,,,,,,"$19,531.00","$29,750.00","$24,643.00","$20,000.00","$10,107.00",30.20%,23.90%,28.60%,13.50%
Dickinson,,,,,,,,,,,,,,,,,
