Location,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Bull Shoals,98.05%,0.30%,0.45%,0.25%,0.10%,0.10%,0.75%,1.05%,$27,139.00,$34,219.00,$23,125.00,$16,950.00,$17,636.00,9.10%,12.60%,27.20%,9.30%
Bullard Township, Prairie County,,,,,,,,,,,,,,,,,
Bunn Township, Dallas County,,,,,,,,,,,,,,,,,
Burdette Township County,,,,,,,,,,,,,,,,,
Burdette,82.17%,17.05%,,,,,0.78%,,$40,625.00,$49,375.00,$29,500.00,$9,250.00,$18,958.00,10.30%,11.20%,11.10%,0.00%
Burg Township, Howard County,,,,,,,,,,,,,,,,,
Burke Township, Little River County,,,,,,,,,,,,,,,,,
Burnett Township, Pope County,,,,,,,,,,,,,,,,,
Butler Township, Lonoke County,,,,,,,,,,,,,,,,,
Butler Township, Randolph County,,,,,,,,,,,,,,,,,
Butterfield Township, Hot Spring County,,,,,,,,,,,,,,,,,
Cabanal Township, Carroll County,,,,,,,,,,,,,,,,,
Cabot,96.56%,0.33%,0.40%,0.88%,0.04%,0.49%,1.30%,1.87%,$49,389.00,$53,933.00,$37,450.00,$26,209.00,$19,020.00,5.60%,7.10%,7.90%,10.40%
Cache Township, Clay County,,,,,,,,,,,,,,,,,
Cache Township, County,,,,,,,,,,,,,,,,,
Cache Township, Greene County,,,,,,,,,,,,,,,,,
Cache Township, Jackson County,,,,,,,,,,,,,,,,,
Cache Township, Lawrence County,,,,,,,,,,,,,,,,,
Cache Township, Monroe County,,,,,,,,,,,,,,,,,
Caddo Township, Clark County,,,,,,,,,,,,,,,,,
Caddo Township, Montgomery County,,,,,,,,,,,,,,,,,
Caddo Valley,86.86%,9.59%,0.36%,,,1.07%,2.13%,1.07%,$28,750.00,$35,417.00,$25,000.00,$18,875.00,$13,083.00,10.20%,16.00%,20.40%,23.40%
Cadron Township, Cleburne County,,,,,,,,,,,,,,,,,
Cadron Township, Faulkner County,,,,,,,,,,,,,,,,,
Cadron Township, Van Buren County,,,,,,,,,,,,,,,,,
Cadron Township, White County,,,,,,,,,,,,,,,,,
Caldwell,82.80%,15.05%,0.43%,1.51%,,,0.22%,0.65%,$38,594.00,$46,250.00,$31,806.00,$21,500.00,$16,889.00,9.90%,15.90%,26.40%,16.30%
Cale,97.33%,2.67%,,,,,,,$39,063.00,$58,438.00,$29,375.00,$37,500.00,$21,611.00,8.70%,11.00%,11.10%,0.00%
Calf Creek Township, Searcy County,,,,,,,,,,,,,,,,,
Calhoun County,74.51%,23.38%,0.21%,0.03%,,0.92%,0.94%,1.50%,$28,438.00,$34,647.00,$30,353.00,$17,452.00,$15,555.00,13.20%,16.50%,19.90%,18.20%
Calhoun Township, Prairie County,,,,,,,,,,,,,,,,,
Calico Rock,97.07%,0.20%,0.71%,0.20%,0.10%,0.40%,1.31%,2.22%,$23,200.00,$31,328.00,$20,833.00,$18,125.00,$14,305.00,20.20%,26.20%,41.90%,15.10%
California Township, Cleburne County,,,,,,,,,,,,,,,,,
California Township, Faulkner County,,,,,,,,,,,,,,,,,
California Township, Madison County,,,,,,,,,,,,,,,,,
Calion,65.70%,33.33%,0.58%,,,,0.39%,1.55%,$25,268.00,$26,042.00,$28,750.00,$20,000.00,$13,860.00,25.50%,25.60%,33.90%,17.20%
Calvert Township, Grant County,,,,,,,,,,,,,,,,,
Camden,49.41%,48.88%,0.24%,0.37%,0.02%,0.20%,0.87%,0.58%,$27,814.00,$35,291.00,$31,257.00,$19,046.00,$14,599.00,18.50%,22.50%,32.00%,19.40%
Cammack Village,97.83%,0.96%,0.36%,0.24%,,0.36%,0.24%,1.44%,$40,909.00,$45,833.00,$50,795.00,$33,021.00,$29,865.00,9.10%,7.60%,12.20%,0.00%
Campbell Station,96.93%,2.63%,0.44%,,,,,,$37,778.00,$38,472.00,$31,500.00,$21,146.00,$16,110.00,9.40%,10.70%,23.40%,3.80%
Campbell Township, Lawrence County,,,,,,,,,,,,,,,,,
Canadian Township County,,,,,,,,,,,,,,,,,
Cane Creek Township, Lincoln County,,,,,,,,,,,,,,,,,
Cane Creek Township, Logan County,,,,,,,,,,,,,,,,,
Cane Hill Township, Washington County,,,,,,,,,,,,,,,,,
Cane Township, White County,,,,,,,,,,,,,,,,,
