Location,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Hunter,97.37%,1.32%,0.66%,,,,0.66%,,$22,500.00,$32,500.00,$25,750.00,$13,438.00,$28,172.00,10.40%,16.20%,20.00%,15.20%
Huntington,93.60%,0.15%,0.44%,,,1.89%,3.92%,4.36%,$30,703.00,$36,250.00,$27,277.00,$15,781.00,$12,614.00,13.50%,15.10%,12.10%,20.70%
Huntsville,90.21%,0.10%,2.12%,,0.21%,6.53%,0.83%,12.79%,$25,288.00,$32,609.00,$26,929.00,$19,766.00,$14,686.00,20.90%,23.70%,32.40%,26.80%
Hurricane Township, Cleveland County,,,,,,,,,,,,,,,,,
Hurricane Township, Franklin County,,,,,,,,,,,,,,,,,
Hurricane Township, Greene County,,,,,,,,,,,,,,,,,
Hurricane Township, Saline County,,,,,,,,,,,,,,,,,
Huttig,48.70%,48.43%,0.82%,,0.14%,0.82%,1.09%,1.50%,$25,284.00,$32,000.00,$31,375.00,$18,056.00,$12,215.00,16.10%,16.20%,23.10%,11.30%
Illinois Township, Count Washington y,,,,,,,,,,,,,,,,,
Illinois Township, Pope County,,,,,,,,,,,,,,,,,
Imboden,98.25%,,0.73%,,,,1.02%,0.29%,$24,489.00,$33,438.00,$28,977.00,$16,667.00,$14,361.00,11.10%,17.80%,28.40%,9.80%
Independence County,94.91%,2.04%,0.45%,0.65%,0.03%,0.64%,1.28%,1.53%,$31,920.00,$38,444.00,$27,284.00,$20,086.00,$16,163.00,9.90%,13.00%,16.10%,14.40%
Independence Township, Baxter County,,,,,,,,,,,,,,,,,
Independence Township, Lee County,,,,,,,,,,,,,,,,,
Independence Township, Marion County,,,,,,,,,,,,,,,,,
Indian Bayou Township, Lonoke County,,,,,,,,,,,,,,,,,
Indian Rock Township, Van Buren County,,,,,,,,,,,,,,,,,
Ingram Township, Randolph County,,,,,,,,,,,,,,,,,
Ions Creek Township, Yell County,,,,,,,,,,,,,,,,,
Isbell Township, Lonoke County,,,,,,,,,,,,,,,,,
Island Township, Sebastian County,,,,,,,,,,,,,,,,,
Ivy Township, Franklin County,,,,,,,,,,,,,,,,,
Izard County,96.41%,1.44%,0.63%,0.11%,0.02%,0.26%,1.13%,1.00%,$25,670.00,$32,313.00,$22,389.00,$18,450.00,$14,397.00,13.60%,17.20%,22.40%,13.70%
Jackson County,80.57%,17.56%,0.33%,0.18%,0.01%,0.40%,0.95%,1.27%,$25,081.00,$32,661.00,$26,744.00,$17,830.00,$14,564.00,13.20%,17.40%,25.00%,16.70%
Jackson Township, Boone County,,,,,,,,,,,,,,,,,
Jackson Township, Calhoun County,,,,,,,,,,,,,,,,,
Jackson Township, Crittenden County,,,,,,,,,,,,,,,,,
Jackson Township, Dallas County,,,,,,,,,,,,,,,,,
Jackson Township, Little River County,,,,,,,,,,,,,,,,,
Jackson Township, Monroe County,,,,,,,,,,,,,,,,,
Jackson Township, Nevada County,,,,,,,,,,,,,,,,,
Jackson Township, Newton County,,,,,,,,,,,,,,,,,
Jackson Township, Pope County,,,,,,,,,,,,,,,,,
Jackson Township, Randolph County,,,,,,,,,,,,,,,,,
Jackson Township, Sharp County,,,,,,,,,,,,,,,,,
Jackson Township, Union County,,,,,,,,,,,,,,,,,
Jackson Township, White County,,,,,,,,,,,,,,,,,
Jacksonport,94.47%,2.98%,0.43%,,,,2.13%,,$26,563.00,$28,333.00,$26,083.00,$18,750.00,$14,150.00,21.90%,22.90%,25.50%,17.90%
Jacksonville,64.17%,27.88%,0.50%,1.98%,0.13%,1.14%,2.58%,6.24%,$35,460.00,$40,381.00,$26,708.00,$21,804.00,$16,369.00,11.90%,14.20%,20.50%,7.90%
James Creek Township, Marion County,,,,,,,,,,,,,,,,,
James Township, Scott County,,,,,,,,,,,,,,,,,
Janes Creek Township, Randolph County,,,,,,,,,,,,,,,,,
Japton Township, Madison County,,,,,,,,,,,,,,,,,
Jasper Township, Crawford County,,,,,,,,,,,,,,,,,
Jasper Township, Crittenden County,,,,,,,,,,,,,,,,,
Jasper,99.98%,,0.01%,,,0.01%,0.00%,0.00%,$13,556.00,$26,668.00,$21,458.00,$16,786.00,$13,557.00,25.90%,31.60%,47.60%,25.40%
Jeff Davis Township, Little River County,,,,,,,,,,,,,,,,,
Jefferson County,48.46%,49.58%,0.24%,0.66%,0.04%,0.26%,0.76%,0.96%,$31,327.00,$38,252.00,$31,848.00,$21,867.00,$15,417.00,16.00%,20.50%,29.60%,17.80%
Jefferson Township, Boone County,,,,,,,,,,,,,,,,,
Jefferson Township, Calhoun County,,,,,,,,,,,,,,,,,
Jefferson Township, Desha County,,,,,,,,,,,,,,,,,
Jefferson Township, Independence County,,,,,,,,,,,,,,,,,
Jefferson Township, Izard County,,,,,,,,,,,,,,,,,
Jefferson Township, Jackson County,,,,,,,,,,,,,,,,,
Jefferson Township, Jefferson County,,,,,,,,,,,,,,,,,
Jefferson Township, Little River County,,,,,,,,,,,,,,,,,
Jefferson Township, Marion County,,,,,,,,,,,,,,,,,
Jefferson Township, Newton County,,,,,,,,,,,,,,,,,
Jefferson Township, Ouachita County,,,,,,,,,,,,,,,,,
Jefferson Township, Saline County,,,,,,,,,,,,,,,,,
Jefferson Township, Sevier County,,,,,,,,,,,,,,,,,
Jefferson Township, White County,,,,,,,,,,,,,,,,,
Jennette,12.10%,87.90%,,,,,,,$22,500.00,$23,750.00,$27,083.00,$21,250.00,$7,571.00,20.70%,45.30%,71.90%,28.60%
Jericho,4.35%,92.93%,,,,0.54%,2.17%,2.72%,$20,625.00,$28,214.00,$22,250.00,$13,125.00,$8,577.00,25.00%,25.40%,20.00%,56.80%
Jerome,76.09%,6.52%,,,,17.39%,,17.39%,$29,167.00,$29,167.00,$18,333.00,$28,125.00,$11,707.00,0.00%,3.60%,0.00%,0.00%
Jesup Township, Lawrence County,,,,,,,,,,,,,,,,,
Jewell Township, Little River County,,,,,,,,,,,,,,,,,
Jim Fork Township, Sebastian County,,,,,,,,,,,,,,,,,
Johnson County,93.69%,1.37%,0.62%,0.25%,0.01%,2.62%,1.43%,6.70%,$27,910.00,$33,630.00,$25,779.00,$19,924.00,$15,097.00,12.90%,16.40%,19.60%,15.30%
Johnson Township, Clay County,,,,,,,,,,,,,,,,,
Johnson Township, Little River County,,,,,,,,,,,,,,,,,
Johnson Township, Logan County,,,,,,,,,,,,,,,,,
Johnson Township, St. Francis County,,,,,,,,,,,,,,,,,
Johnson Township, Union County,,,,,,,,,,,,,,,,,
Johnson Township, Washington County,,,,,,,,,,,,,,,,,
Johnson,91.55%,1.42%,0.69%,2.11%,0.09%,1.68%,2.46%,3.19%,$44,556.00,$51,618.00,$35,189.00,$25,625.00,$21,502.00,5.40%,7.60%,10.20%,9.60%
Joiner,52.78%,45.93%,,,,0.37%,0.93%,0.74%,$26,875.00,$30,000.00,$28,750.00,$20,208.00,$10,454.00,27.70%,27.50%,35.30%,23.40%
Jones Township, Greene County,,,,,,,,,,,,,,,,,
Jones Township, Newton County,,,,,,,,,,,,,,,,,
Jones Township, Scott County,,,,,,,,,,,,,,,,,
Jones Township, Stone County,,,,,,,,,,,,,,,,,
Jonesboro Township, Craighead County,,,,,,,,,,,,,,,,,
Jonesboro,74.70%,18.40%,0.40%,1.50%,0.03%,1.00%,2.00%,5.20%,$32,196.00,$42,082.00,$21,633.00,$31,633.00,$17,884.00,12.90%,23.10%,22.40%,12.30%
Joy Township, White County,,,,,,,,,,,,,,,,,
Judsonia,94.05%,2.32%,0.71%,0.10%,0.05%,1.31%,1.46%,2.32%,$25,660.00,$31,176.00,$25,774.00,$16,852.00,$11,891.00,12.00%,15.70%,18.40%,20.80%
Junction City,55.20%,43.00%,0.55%,0.14%,,,1.11%,0.69%,$27,981.00,$29,107.00,$30,000.00,$15,313.00,$11,803.00,24.10%,31.70%,40.50%,26.40%
Keaton Township County,,,,,,,,,,,,,,,,,
Keener Township, Scott County,,,,,,,,,,,,,,,,,
Keesee Township, Marion County,,,,,,,,,,,,,,,,,
Keeter Township, Marion County,,,,,,,,,,,,,,,,,
Keevil Township, Monroe County,,,,,,,,,,,,,,,,,
Keiser,92.45%,4.46%,1.73%,,,0.99%,0.37%,2.85%,$35,517.00,$36,940.00,$27,679.00,$19,500.00,$14,769.00,10.40%,10.80%,9.70%,21.80%
Kenney Township, Perry County,,,,,,,,,,,,,,,,,
Kensett Township, White County,,,,,,,,,,,,,,,,,
Kensett,70.24%,24.29%,0.17%,0.37%,,2.40%,2.57%,4.02%,$20,478.00,$26,161.00,$22,763.00,$17,500.00,$11,049.00,26.30%,30.60%,48.50%,21.40%
Kentucky Township, Madison County,,,,,,,,,,,,,,,,,
Kentucky Township, Newton County,,,,,,,,,,,,,,,,,
Kentucky Township, Saline County,,,,,,,,,,,,,,,,,
Kentucky Township, White County,,,,,,,,,,,,,,,,,
Keo,19.87%,80.33%,,,,0.43%,,1.70%,$40,250.00,$43,333.00,$24,028.00,$26,000.00,$21,159.00,10.30%,18.30%,38.30%,7.00%
Kibler Township, Crawford County,,,,,,,,,,,,,,,,,
Kibler,95.25%,0.10%,1.44%,1.86%,,0.62%,0.72%,1.44%,$33,889.00,$36,761.00,$27,955.00,$19,583.00,$15,763.00,11.30%,14.80%,22.40%,21.90%
Kilgore Township, Clay County,,,,,,,,,,,,,,,,,
Kimbrough Township, Lincoln County,,,,,,,,,,,,,,,,,
King Township, Johnson County,,,,,,,,,,,,,,,,,
Kings River Township, Carroll County,,,,,,,,,,,,,,,,,
Kings River Township, Madison County,,,,,,,,,,,,,,,,,
Kingsland Township, Cleveland County,,,,,,,,,,,,,,,,,
Kingsland,63.98%,32.89%,0.22%,0.45%,,,2.46%,,$20,536.00,$28,958.00,$26,667.00,$16,250.00,$9,500.00,28.00%,33.30%,42.90%,26.10%
Kirby,,,,,,,,,,,,,,,,,
Knob Township, Clay County,,,,,,,,,,,,,,,,,
Knobel,97.77%,0.56%,1.68%,,,,,2.79%,$18,750.00,$32,000.00,$21,705.00,$15,000.00,$10,624.00,20.00%,25.20%,13.60%,36.20%
Knoxville,95.89%,,1.57%,0.20%,,1.37%,0.98%,4.11%,$31,250.00,$34,375.00,$22,031.00,$22,857.00,$15,404.00,9.20%,12.60%,13.50%,18.30%
L'Anguille Township, St. Francis County,,,,,,,,,,,,,,,,,
La Fave Township, Scott County,,,,,,,,,,,,,,,,,
La Grange Township, Lafayette County,,,,,,,,,,,,,,,,,
La Grue Township County,,,,,,,,,,,,,,,,,
Lacrosse Township, Izard County,,,,,,,,,,,,,,,,,
Lafayette County,62.08%,36.49%,0.37%,0.22%,0.01%,0.20%,0.63%,1.03%,$24,831.00,$30,720.00,$26,492.00,$17,000.00,$14,128.00,18.70%,23.20%,31.50%,19.30%
Lafayette Township, Lonoke County,,,,,,,,,,,,,,,,,
Lafayette Township, Ouachita County,,,,,,,,,,,,,,,,,
Lafayette Township, Scott County,,,,,,,,,,,,,,,,,
Lafe,89.09%,,2.34%,,,,8.57%,0.78%,$30,938.00,$32,125.00,$25,313.00,$16,667.00,$12,234.00,15.00%,17.70%,22.70%,8.60%
Lafferty Township, Izard County,,,,,,,,,,,,,,,,,
Lake City Township, Craighead County,,,,,,,,,,,,,,,,,
Lake City,98.67%,0.05%,0.36%,0.05%,,0.26%,0.61%,1.02%,$30,844.00,$33,477.00,$27,798.00,$19,205.00,$14,126.00,11.40%,14.60%,21.10%,9.10%
Lake Hamilton Township, Garland County,,,,,,,,,,,,,,,,,
Lake Hamilton,95.65%,0.87%,0.50%,1.24%,,0.31%,1.43%,2.24%,$36,667.00,$45,250.00,$30,455.00,$16,765.00,$23,992.00,8.10%,9.60%,24.30%,0.00%
Lake Township, Greene County,,,,,,,,,,,,,,,,,
Lake Township, Perry County,,,,,,,,,,,,,,,,,
Lake Township, Phillips County,,,,,,,,,,,,,,,,,
Lake View,7.16%,91.71%,,,,,1.13%,0.19%,$15,536.00,$16,944.00,$17,031.00,$14,444.00,$13,651.00,45.20%,45.60%,57.40%,40.60%
Lake Village,40.74%,56.15%,0.21%,1.13%,,0.57%,1.20%,1.38%,$20,625.00,$28,438.00,$37,031.00,$14,872.00,$12,677.00,29.10%,36.10%,49.60%,24.50%
Lakeview,98.95%,,0.39%,0.52%,,0.13%,,1.31%,$31,667.00,$38,482.00,$27,750.00,$25,313.00,$16,667.00,7.90%,12.10%,19.60%,4.10%
Lamar Township, Madison County,,,,,,,,,,,,,,,,,
Lamar Township, Yell County,,,,,,,,,,,,,,,,,
Lamar,95.97%,0.14%,1.13%,0.21%,,0.64%,1.91%,3.46%,$23,317.00,$27,143.00,$23,309.00,$16,207.00,$11,852.00,14.80%,17.70%,18.70%,15.20%
Lamb Township, Scott County,,,,,,,,,,,,,,,,,
Lancaster Township, Crawford County,,,,,,,,,,,,,,,,,
Landmark,85.05%,11.37%,0.40%,0.51%,,0.74%,1.91%,1.66%,$39,766.00,$47,813.00,$31,782.00,$25,205.00,$19,508.00,3.40%,4.60%,4.80%,1.10%
Lapile Township, Union County,,,,,,,,,,,,,,,,,
Lavaca,95.12%,0.16%,1.26%,,,1.21%,2.25%,2.14%,$39,427.00,$43,542.00,$28,684.00,$22,500.00,$15,917.00,7.50%,8.50%,11.20%,10.30%
Lave Creek Township, Sharp County,,,,,,,,,,,,,,,,,
Laverna Township, Montgomery County,,,,,,,,,,,,,,,,,
Lawrence County,97.78%,0.44%,0.57%,0.05%,0.01%,0.12%,1.02%,0.68%,$27,139.00,$32,163.00,$26,288.00,$18,518.00,$13,785.00,13.90%,18.40%,25.50%,20.10%
Lawrence Township, Lawrence County,,,,,,,,,,,,,,,,,
Leachville,92.88%,1.41%,0.30%,0.20%,,4.04%,1.16%,9.54%,$25,789.00,$32,574.00,$26,792.00,$17,083.00,$15,360.00,12.40%,17.30%,19.90%,16.90%
Lead Hill,96.86%,,,0.35%,,,2.79%,0.35%,$30,625.00,$32,500.00,$24,375.00,$18,864.00,$13,051.00,9.30%,15.70%,23.40%,12.80%
Leake Township, Nevada County,,,,,,,,,,,,,,,,,
Lee County,41.41%,57.24%,0.16%,0.27%,,0.52%,0.40%,2.19%,$20,510.00,$25,846.00,$26,900.00,$19,505.00,$10,983.00,24.70%,29.90%,38.80%,27.60%
Lee Township, Boone County,,,,,,,,,,,,,,,,,
Lee Township, Cleveland County,,,,,,,,,,,,,,,,,
Lee Township, Johnson County,,,,,,,,,,,,,,,,,
Lees Creek Township, Crawford County,,,,,,,,,,,,,,,,,
Lees Creek Township, Washington County,,,,,,,,,,,,,,,,,
Lemmons Township, Clay County,,,,,,,,,,,,,,,,,
Leola,84.66%,0.19%,0.58%,,0.39%,12.82%,1.36%,14.76%,$30,625.00,$32,778.00,$26,250.00,$17,292.00,$11,844.00,8.60%,10.00%,6.40%,19.00%
Lepanto,82.37%,15.56%,0.05%,0.05%,,0.98%,0.98%,2.11%,$22,599.00,$30,074.00,$26,977.00,$18,565.00,$12,550.00,20.50%,26.30%,37.10%,26.20%
Leslie,99.38%,,0.21%,,,,0.41%,1.24%,$14,485.00,$21,607.00,$23,250.00,$15,833.00,$10,446.00,23.90%,31.10%,54.70%,25.50%
Lester Township, Craighead County,,,,,,,,,,,,,,,,,
Letona,96.02%,,1.00%,,,,2.99%,0.50%,$21,875.00,$27,500.00,$22,292.00,$15,208.00,$12,303.00,11.10%,17.20%,33.30%,8.90%
Lewis Township, Scott County,,,,,,,,,,,,,,,,,
Lewisville,49.34%,49.34%,0.16%,,,0.70%,0.47%,2.10%,$26,719.00,$34,712.00,$24,408.00,$16,850.00,$13,733.00,17.20%,21.30%,27.30%,16.10%
Lexa,71.90%,26.28%,0.60%,,,,1.21%,,$30,446.00,$31,339.00,$27,361.00,$20,417.00,$12,168.00,13.30%,17.70%,19.50%,31.40%
Liberty Township, Carroll County,,,,,,,,,,,,,,,,,
Liberty Township, Dallas County,,,,,,,,,,,,,,,,,
Liberty Township, Independence County,,,,,,,,,,,,,,,,,
Liberty Township, Marion County,,,,,,,,,,,,,,,,,
Liberty Township, Ouachita County,,,,,,,,,,,,,,,,,
Liberty Township, Pope County,,,,,,,,,,,,,,,,,
Liberty Township, Saline County,,,,,,,,,,,,,,,,,
Liberty Township, Stone County,,,,,,,,,,,,,,,,,
Liberty Township, Van Buren County,,,,,,,,,,,,,,,,,
Liberty Township, White County,,,,,,,,,,,,,,,,,
Lick Creek Township, Little River County,,,,,,,,,,,,,,,,,
Lick Mountain Township, Conway County,,,,,,,,,,,,,,,,,
Liddell Township, Clay County,,,,,,,,,,,,,,,,,
Limestone Township, Franklin County,,,,,,,,,,,,,,,,,
Lincoln County,64.88%,32.92%,0.40%,0.06%,0.01%,0.99%,0.75%,1.81%,$29,607.00,$35,408.00,$28,890.00,$19,990.00,$12,479.00,15.50%,19.50%,26.60%,17.90%
Lincoln Township, Madison County,,,,,,,,,,,,,,,,,
Lincoln Township, Newton County,,,,,,,,,,,,,,,,,
Lincoln Township, Washington County,,,,,,,,,,,,,,,,,
Lincoln,91.78%,,2.57%,0.06%,,2.57%,3.03%,5.08%,$27,639.00,$37,102.00,$26,860.00,$18,958.00,$14,232.00,12.70%,15.80%,18.50%,11.80%
Linn Creek Township, Van Buren County,,,,,,,,,,,,,,,,,
Litteral Township, Washington County,,,,,,,,,,,,,,,,,
Little Black Township, Randolph County,,,,,,,,,,,,,,,,,
Little Flock,83.21%,0.89%,1.70%,5.65%,0.43%,5.88%,2.24%,15.98%,$32,768.00,$38,456.00,$28,661.00,$21,708.00,$16,447.00,10.20%,13.10%,17.40%,3.40%
Little River County,74.52%,21.27%,1.45%,0.20%,0.03%,0.86%,1.67%,1.72%,$29,417.00,$36,207.00,$32,489.00,$18,435.00,$15,899.00,11.90%,15.40%,18.80%,17.80%
Little River Township, Little River County,,,,,,,,,,,,,,,,,
Little River Township County,,,,,,,,,,,,,,,,,
Little River Township, Poinsett County,,,,,,,,,,,,,,,,,
Little Rock,48.90%,42.30%,0.30%,1.70%,0.03%,1.28%,1.28%,2.70%,$37,572.00,$47,446.00,$35,689.00,$26,802.00,$23,209.00,,14.30%,20.90%,9.00%
Little Texas Township, Craighead County,,,,,,,,,,,,,,,,,
Little Texas Township, Scott County,,,,,,,,,,,,,,,,,
Live Oak Township, Drew County,,,,,,,,,,,,,,,,,
Locke Township, Crawford County,,,,,,,,,,,,,,,,,
Lockesburg,92.55%,4.50%,,,,2.25%,0.70%,2.95%,$27,132.00,$31,625.00,$25,729.00,$17,813.00,$12,092.00,11.30%,19.00%,22.40%,19.80%
Locust Grove Township, Stone County,,,,,,,,,,,,,,,,,
Logan County,96.46%,1.05%,0.65%,0.15%,0.02%,0.39%,1.28%,1.21%,$28,344.00,$33,732.00,$24,472.00,$18,681.00,$14,527.00,11.40%,15.40%,18.20%,19.60%
Logan Township, Baxter County,,,,,,,,,,,,,,,,,
Logan Township, Benton County,,,,,,,,,,,,,,,,,
Logan Township, Independence County,,,,,,,,,,,,,,,,,
Logan Township, Logan County,,,,,,,,,,,,,,,,,
Lon Norris Township, Sebastian County,,,,,,,,,,,,,,,,,
London,96.60%,0.30%,1.41%,0.22%,,,1.41%,1.00%,$30,804.00,$36,172.00,$28,036.00,$17,391.00,$14,815.00,8.00%,13.60%,20.80%,15.50%
Lone Hill Township, Hot Spring County,,,,,,,,,,,,,,,,,
Lone Pine Township, Count Lincoln y,,,,,,,,,,,,,,,,,
Lone Rock Township, Baxter County,,,,,,,,,,,,,,,,,
Long Creek Township, Boone County,,,,,,,,,,,,,,,,,
Long Creek Township, Carroll County,,,,,,,,,,,,,,,,,
Long Creek Township, Searcy County,,,,,,,,,,,,,,,,,
Longview Township, Ashley County,,,,,,,,,,,,,,,,,
Lonoke County,91.03%,6.44%,0.49%,0.42%,0.03%,0.51%,1.08%,1.75%,$40,314.00,$46,173.00,$32,451.00,$22,897.00,$17,397.00,8.10%,10.50%,12.20%,13.60%
Lonoke Township, Lonoke County,,,,,,,,,,,,,,,,,
Lonoke,73.29%,23.40%,0.77%,0.33%,0.05%,0.98%,1.19%,1.84%,$31,558.00,$44,423.00,$34,315.00,$22,642.00,$15,598.00,11.90%,15.00%,16.60%,19.50%
Lonsdale,97.46%,,,,,,2.54%,0.85%,$25,500.00,$26,000.00,$31,250.00,$23,750.00,$11,572.00,14.70%,22.30%,35.90%,0.00%
Lost Bridge Village,,,,,,,,,,,,,,,,,
Louann,62.56%,36.41%,0.51%,,,,0.51%,,$17,273.00,$18,333.00,$21,250.00,$18,750.00,$11,288.00,44.40%,45.00%,66.20%,46.20%
Low Gap Township, Johnson County,,,,,,,,,,,,,,,,,
Low Gap Township, Newton County,,,,,,,,,,,,,,,,,
Lowell,88.67%,0.78%,0.88%,2.71%,0.98%,4.09%,1.90%,8.94%,$48,063.00,$55,944.00,$31,677.00,$24,196.00,$20,861.00,4.40%,5.90%,5.80%,19.40%
Lower North Township, Sharp County,,,,,,,,,,,,,,,,,
Lower Surrounded Hill Township, Prairie County,,,,,,,,,,,,,,,,,
Lucas Township, Crittenden County,,,,,,,,,,,,,,,,,
Lunenburg Township, Izard County,,,,,,,,,,,,,,,,,
Lunsford Township, Poinsett County,,,,,,,,,,,,,,,,,
Luxora,40.93%,56.04%,0.08%,,,1.97%,0.99%,2.73%,,,,,,,,,
Lynn,97.46%,,,,,0.95%,1.59%,0.63%,$22,778.00,$27,375.00,$29,688.00,$20,625.00,$14,409.00,8.40%,13.90%,9.00%,28.60%
Madison County,95.94%,0.11%,1.22%,0.06%,0.09%,1.47%,1.10%,3.06%,$27,895.00,$32,910.00,$24,911.00,$18,786.00,$14,736.00,14.70%,18.60%,24.60%,18.00%
Madison Township, Grant County,,,,,,,,,,,,,,,,,
Madison Township, Howard County,,,,,,,,,,,,,,,,,
Madison Township, St. Francis County,,,,,,,,,,,,,,,,,
Madison,10.03%,88.96%,,,,0.41%,0.61%,0.81%,$15,700.00,$20,682.00,$21,875.00,$17,500.00,$9,733.00,40.40%,41.90%,56.10%,50.40%
Magazine Township, Yell County,,,,,,,,,,,,,,,,,
Magazine,97.38%,,0.66%,0.11%,,0.22%,1.64%,0.66%,$27,438.00,$31,534.00,$23,182.00,$17,656.00,$14,441.00,13.80%,18.10%,24.50%,14.30%
Magness Township, Independence County,,,,,,,,,,,,,,,,,
Magness Township, Lonoke County,,,,,,,,,,,,,,,,,
Magness,98.95%,,,,,,1.05%,0.52%,$27,969.00,$35,000.00,$27,750.00,$16,058.00,$24,967.00,14.30%,22.60%,23.10%,32.70%
Magnet Cove,,,,,,,,,,,,,,,,,
Magnet Township, Hot Spring County,,,,,,,,,,,,,,,,,
Magnolia Township, Columbia County,,,,,,,,,,,,,,,,,
Magnolia,58.24%,39.38%,0.22%,0.65%,0.02%,0.48%,1.00%,1.07%,$29,897.00,$35,269.00,$31,577.00,$20,840.00,$15,403.00,15.20%,23.00%,32.90%,17.70%
Main Shore Township, Greene County,,,,,,,,,,,,,,,,,
Malvern,68.16%,28.66%,0.35%,0.29%,0.07%,0.53%,1.94%,1.26%,$27,007.00,$34,563.00,$27,232.00,$18,929.00,$14,848.00,15.70%,20.30%,27.60%,18.40%
Mammoth Spring Township, Fulton County,,,,,,,,,,,,,,,,,
Mammoth Spring,96.40%,0.90%,0.50%,0.40%,,,0.20%,0.60%,$20,588.00,$26,438.00,$18,750.00,$16,328.00,$12,487.00,13.60%,19.30%,24.30%,16.40%
Manchester Township, Dallas County,,,,,,,,,,,,,,,,,
Manila,98.20%,0.03%,0.39%,0.07%,,0.26%,1.05%,1.08%,$24,896.00,$33,105.00,$31,344.00,$19,063.00,$13,754.00,13.40%,18.40%,18.60%,26.40%
Mansfield,95.81%,0.09%,1.09%,0.46%,,0.91%,1.64%,3.37%,$26,938.00,$35,000.00,$28,534.00,$19,063.00,$13,012.00,13.20%,18.00%,32.10%,12.90%
Marble Falls Township, Newton County,,,,,,,,,,,,,,,,,
Marble Township, Madison County,,,,,,,,,,,,,,,,,
Marble Township, Saline County,,,,,,,,,,,,,,,,,
Marcella Township, Stone County,,,,,,,,,,,,,,,,,
Marianna,20.90%,76.60%,0.20%,0.80%,,0.00%,1.30%,0.70%,$16,351.00,$29,624.00,$28,542.00,$19,045.00,$10,253.00,32.80%,37.00%,46.20%,33.10%
Marie Saline Township, Ashley County,,,,,,,,,,,,,,,,,
Marie,69.44%,29.63%,,,,,0.93%,,$38,333.00,$38,333.00,$40,313.00,$16,750.00,$12,686.00,21.90%,19.80%,34.40%,0.00%
Marion County,97.52%,0.12%,0.76%,0.20%,0.05%,0.13%,1.22%,0.76%,$26,737.00,$32,181.00,$22,877.00,$17,729.00,$14,588.00,11.50%,15.20%,23.50%,14.40%
Marion Township, Bradley County,,,,,,,,,,,,,,,,,
Marion Township, Drew County,,,,,,,,,,,,,,,,,
Marion Township, Lawrence County,,,,,,,,,,,,,,,,,
Marion Township, Ouachita County,,,,,,,,,,,,,,,,,
Marion Township, Phillips County,,,,,,,,,,,,,,,,,
Marion Township, Sebastian County,,,,,,,,,,,,,,,,,
Marion Township, White County,,,,,,,,,,,,,,,,,
Marion,68.10%,28.00%,0.40%,1.50%,,,1.40%,2.00%,,,,,,,,,
Marked Tree,50.36%,47.07%,0.11%,0.29%,,1.25%,0.93%,2.07%,$22,591.00,$30,197.00,$26,305.00,$19,602.00,$11,867.00,25.60%,32.30%,47.40%,28.00%
Marmaduke,96.80%,,0.43%,0.09%,,0.52%,2.16%,0.78%,$23,300.00,$31,016.00,$23,375.00,$19,432.00,$11,506.00,18.10%,20.40%,24.80%,19.70%
Marrs Hill Township, Washington County,,,,,,,,,,,,,,,,,
Mars Hill Township, Lafayette County,,,,,,,,,,,,,,,,,
Marshall Township, White County,,,,,,,,,,,,,,,,,
Marshall,98.32%,0.08%,1.30%,,,0.30%,0.99%,0.99%,$18,846.00,$27,500.00,$22,857.00,$14,107.00,$13,772.00,20.00%,27.50%,38.40%,25.70%
Marshell Township, Independence County,,,,,,,,,,,,,,,,,
Martin Township, Conway County,,,,,,,,,,,,,,,,,
Martin Township, Pope County,,,,,,,,,,,,,,,,,
Marvell,40.36%,58.06%,0.43%,,,,1.15%,0.79%,$22,368.00,$26,500.00,$23,854.00,$15,764.00,$16,797.00,22.60%,29.50%,48.10%,16.90%
Mason Township, Yell County,,,,,,,,,,,,,,,,,
Mason Valley Township, Benton County,,,,,,,,,,,,,,,,,
Matney Township, Baxter County,,,,,,,,,,,,,,,,,
Matthews Township, Faulkner County,,,,,,,,,,,,,,,,,
Maumelle Township, Craighead County,,,,,,,,,,,,,,,,,
Maumelle Township, Perry County,,,,,,,,,,,,,,,,,
Maumelle,82.90%,12.10%,0.40%,2.30%,0.01%,0.41%,0.97%,1.77%,$82,122.00,$71,826.00,$50,220.00,$35,461.00,$37,453.00,1.30%,5.30%,2.70%,15.20%
Mayflower,95.16%,3.37%,0.31%,0.06%,,0.25%,0.86%,0.67%,$35,469.00,$39,013.00,$29,821.00,$23,102.00,$19,889.00,7.00%,8.60%,9.10%,14.00%
Maynard,,,,,,,,,$17,206.00,$23,056.00,$20,625.00,$15,357.00,$11,668.00,14.80%,27.00%,38.30%,18.30%
Maysville,,,,,,,,,,,,,,,,,
Mazarn Township, Montgomery County,,,,,,,,,,,,,,,,,
McAlmont,25.08%,70.50%,0.68%,0.05%,0.05%,0.99%,2.65%,1.98%,$19,762.00,$27,174.00,$30,855.00,$16,549.00,$11,737.00,23.30%,28.10%,45.50%,21.80%
McCaskill,73.81%,15.48%,2.38%,,,7.14%,1.19%,15.48%,$25,000.00,$26,250.00,$30,313.00,$16,875.00,$8,826.00,33.30%,37.50%,52.50%,100.00%
