,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty,,,,,,,,
Acacia Villas,,,,,,,,,,,,,,,,,,,,,,,,,
Brooksville,78.70%,19.10%,1.00%,1.20%,0.20%,2.10%,2.10%,6.60%,$25,489.00,$31,060.00,$29,837.00,$21,804.00,$16,265.00,16.80%,21.50%,27.90%,11.50%,,,,,,,,
Broward County,70.57%,20.54%,0.24%,2.25%,0.06%,3.00%,3.35%,16.74%,$41,691.00,$50,531.00,$36,741.00,$28,529.00,$23,170.00,8.70%,11.50%,15.30%,10.00%,,,,,,,,
Brownsdale,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville,5.76%,91.23%,0.22%,0.02%,0.01%,1.45%,1.30%,8.22%,$16,902.00,$19,703.00,$21,098.00,$21,182.00,$9,722.00,37.40%,42.70%,54.60%,33.20%,,,,,,,,
Buckhead Ridge,98.35%,0.14%,0.07%,0.07%,,0.14%,1.22%,0.94%,$26,406.00,$28,047.00,$36,563.00,$25,726.00,$16,475.00,13.50%,19.40%,29.00%,18.20%,,,,,,,,
Buckingham,94.20%,2.32%,0.19%,0.51%,,1.92%,0.86%,4.68%,$51,068.00,$55,719.00,$33,176.00,$25,676.00,$19,103.00,6.40%,16.80%,11.80%,8.80%,,,,,,,,
Buenaventura Lakes,62.66%,11.78%,0.38%,2.68%,0.09%,17.48%,4.93%,54.63%,$39,023.00,$40,764.00,$26,768.00,$21,314.00,$14,742.00,7.90%,10.20%,11.60%,11.50%,,,,,,,,
Bunnell,63.71%,32.56%,0.19%,0.94%,,1.27%,1.32%,3.63%,$21,210.00,$25,231.00,$27,500.00,$17,891.00,$13,274.00,20.10%,22.50%,32.50%,13.10%,,,,,,,,
Burnt Store Marina,98.51%,0.94%,0.08%,0.16%,,,0.31%,0.94%,$61,786.00,$68,542.00,$31,750.00,$17,163.00,$46,050.00,3.40%,3.60%,0.00%,0.00%,,,,,,,,
Bushnell,83.37%,12.98%,0.34%,0.73%,,1.27%,1.32%,3.56%,$26,676.00,$34,063.00,$27,986.00,$23,125.00,$14,737.00,11.00%,14.70%,17.50%,13.40%,,,,,,,,
Butler Beach,97.97%,0.29%,0.18%,0.70%,,0.41%,0.45%,1.49%,$46,319.00,$61,850.00,$36,875.00,$31,399.00,$31,193.00,4.20%,6.30%,10.20%,3.60%,,,,,,,,
Cabana Colony,,,,,,,,,,,,,,,,,,,,,,,,,
