County,Incorporated City or Town,Incorporation Date,"June 1, 1850","June 1, 1860","June 1, 1870","June 1, 1880","June 1, 1890 (2)","June 1, 1900","April 15, 1910","Jan. 1, 1920","April 1, 1930","April 1, 1940","April 1, 1950","April 1, 1960","April 1, 1970","April 1, 1980","April 1, 1990","April 1, 2000 (4)","April 1, 2010"
Los Angeles,Glendale,1906,,,,,,,"2,746","13,536","62,736","82,582","95,702","119,442","132,664","139,060","180,038","194,973","191,719"
Los Angeles,Glendora,1911,,,,,,,,"2,028","2,761","2,822","3,988","20,752","31,380","38,500","47,828","49,415","50,073"
Los Angeles,Hawaiian Gardens,1964,,,,,,,,,,,,,"9,052","10,548","13,639","14,779","14,254"
Los Angeles,Hawthorne,1922,,,,,,,,,"6,596","8,263","16,316","33,035","53,304","56,437","71,349","84,112","84,293"
Los Angeles,Hermosa Beach,1907,,,,,,,679,"2,327","4,796","7,197","11,826","16,115","17,412","18,070","18,219","18,566","19,506"
Los Angeles,Hidden Hills,1961,,,,,,,,,,,,,"1,529","1,760","1,729","1,875","1,856"
Los Angeles,Huntington Park,1906,,,,,,,"1,299","4,513","24,591","28,648","29,450","29,920","33,744","45,932","56,065","61,348","58,114"
Los Angeles,Industry,1957,,,,,,,,,,,,778,712,412,631,777,219
Los Angeles,Inglewood,1908,,,,,,,"1,536","3,286","19,480","30,114","46,185","63,390","89,985","94,162","109,602","112,580","109,673"
Los Angeles,Irwindale,1957,,,,,,,,,,,,"1,518",784,"1,030","1,050","1,446","1,422"
Los Angeles,La Cañada Flintridge,1976,,,,,,,,,,,,,,"20,153","19,378","20,318","20,246"
Los Angeles,La Habra Heights,1978,,,,,,,,,,,,,,"4,786","6,226","5,712","5,325"
Los Angeles,La Mirada,1960,,,,,,,,,,,,"22,444","30,808","40,986","40,452","46,783","48,527"
Los Angeles,La Puente,1956,,,,,,,,,,,,"24,723","31,092","30,882","36,955","41,063","39,816"
Los Angeles,La Verne,1906,,,,,,,954,"1,698","2,860","3,092","4,198","6,516","12,965","23,508","30,897","31,638","31,063"
Los Angeles,Lakewood,1954,,,,,,,,,,,,"67,126","83,025","74,654","73,557","79,345","80,048"
Los Angeles,Lancaster,1977,,,,,,,,,,,,,,"48,027","97,291","118,718","156,633"
Los Angeles,Lawndale,1959,,,,,,,,,,,,"21,740","24,825","23,460","27,331","31,711","32,769"
Los Angeles,Lomita,1964,,,,,,,,,,,,,"19,784","18,807","19,382","20,046","20,256"
Los Angeles,Long Beach,i. 1888/ d.1896/ ri. 1897,,,,,564,"2,252","17,809","55,593","142,032","164,271","250,767","344,168","358,879","361,355","429,433","461,522","462,257"
Los Angeles,Los Angeles,1850,"1,610","4,385","5,728","11,183","50,395","102,479","319,198","576,673","1,238,048","1,504,277","1,970,358","2,479,015","2,811,801","2,968,579","3,485,398","3,694,742","3,792,621"
Los Angeles,Lynwood,1921,,,,,,,,,"7,323","10,982","25,823","31,614","43,354","48,409","61,945","69,845","69,772"
Los Angeles,Malibu,1991,,,,,,,,,,,,,,,,"12,575","12,645"
Los Angeles,Manhattan Beach,1912,,,,,,,,859,"1,891","6,398","17,330","33,934","35,352","31,542","32,063","33,852","35,135"
