Location,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty,,,,,,,,
Acres Green,93.07%,0.62%,0.50%,2.03%,,1.68%,2.09%,5.40%,,,,,,,,,,,,,,,,,
Crook,100.00%,,,,,,,3.91%,$32,500.00,$35,833.00,$29,167.00,$26,250.00,$19,127.00,0.00%,3.70%,0.00%,10.30%,,,,,,,,
Crowley,82.35%,1.60%,2.67%,,,12.30%,1.07%,39.04%,$30,313.00,$32,083.00,$21,875.00,$20,500.00,$11,119.00,8.30%,15.30%,22.00%,24.00%,,,,,,,,
Crowley County,82.95%,7.05%,2.59%,0.82%,0.02%,4.77%,1.81%,22.54%,$26,803.00,$32,162.00,$20,813.00,$21,920.00,$12,836.00,15.20%,18.50%,23.60%,13.50%,,,,,,,,
Custer County,95.89%,0.37%,1.11%,0.29%,,0.71%,1.63%,2.51%,$34,731.00,$41,198.00,$32,460.00,$20,868.00,$19,817.00,9.80%,13.30%,20.10%,12.60%,,,,,,,,
Dacono,77.05%,0.43%,0.96%,1.00%,,17.98%,2.59%,32.04%,$38,854.00,$42,659.00,$29,899.00,$25,000.00,$15,368.00,3.60%,6.00%,6.50%,6.40%,,,,,,,,
Dakota Ridge,,,,,,,,,,,,,,,,,,,,,,,,,
De Beque,98.45%,,0.67%,,,0.89%,,2.00%,$29,632.00,$31,042.00,$28,750.00,$17,500.00,$14,181.00,6.20%,7.30%,9.80%,3.80%,,,,,,,,
Deer Trail,96.32%,0.33%,0.17%,0.84%,,0.84%,1.51%,2.51%,$30,481.00,$35,357.00,$31,324.00,$21,750.00,$16,000.00,3.00%,5.50%,1.90%,6.40%,,,,,,,,
Del Norte,66.86%,0.12%,1.06%,0.41%,,27.68%,3.87%,57.36%,$23,833.00,$29,471.00,$26,161.00,$21,406.00,$12,751.00,22.10%,25.40%,36.50%,14.00%,,,,,,,,
Delta,82.20%,0.20%,1.10%,0.70%,,12.50%,3.10%,26.10%,,,,,,,,,,,,,,,,,
Delta County,92.29%,0.52%,0.76%,0.32%,0.03%,4.25%,1.83%,11.39%,$32,785.00,$37,748.00,$31,348.00,$19,916.00,$17,152.00,8.50%,12.10%,15.00%,9.60%,,,,,,,,
Derby,68.39%,1.53%,2.69%,0.87%,0.09%,21.56%,4.86%,47.27%,$38,571.00,$41,156.00,$28,354.00,$24,792.00,$13,844.00,9.70%,10.40%,11.30%,15.30%,,,,,,,,
Dillon,95.64%,0.87%,1.00%,0.12%,,1.87%,0.50%,10.35%,$49,821.00,$59,107.00,$36,304.00,$26,042.00,$32,727.00,4.70%,6.30%,9.20%,4.40%,,,,,,,,
Dinosaur,98.43%,,,,,0.31%,1.25%,3.76%,$31,250.00,$31,250.00,$43,500.00,$16,250.00,$12,904.00,18.80%,17.90%,15.60%,14.30%,,,,,,,,
Divide,,,,,,,,,,,,,,,,,,,,,,,,,
Dolores,90.38%,,2.14%,0.11%,0.21%,3.42%,3.74%,10.90%,$30,417.00,$32,188.00,$27,404.00,$19,286.00,$14,912.00,16.60%,17.30%,24.10%,11.60%,,,,,,,,
Dolores County,95.28%,0.05%,1.95%,0.38%,0.05%,0.60%,1.68%,3.85%,$32,196.00,$38,000.00,$30,972.00,$20,385.00,$17,106.00,10.20%,13.10%,9.80%,18.30%,,,,,,,,
Dotsero,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas County,92.77%,0.95%,0.41%,2.51%,0.06%,1.43%,1.88%,5.06%,$82,929.00,$88,482.00,$60,729.00,$38,965.00,$34,848.00,1.60%,2.10%,1.90%,3.70%,,,,,,,,
Dove Creek,96.28%,,1.86%,,,0.29%,1.58%,3.87%,$27,500.00,$32,813.00,$28,333.00,$17,500.00,$13,015.00,8.90%,12.30%,9.90%,16.00%,,,,,,,,
Dove Valley,,,,,,,,,,,,,,,,,,,,,,,,,
Downieville-Lawson-Dumont,93.13%,,1.65%,,,4.12%,1.10%,7.42%,$47,813.00,$49,808.00,$29,375.00,$22,188.00,$18,560.00,0.00%,1.70%,0.00%,0.00%,,,,,,,,
Durango,86.84%,5.00%,5.51%,0.74%,0.11%,4.12%,2.17%,10.31%,$34,892.00,$50,814.00,$31,812.00,$25,022.00,$19,352.00,7.30%,17.20%,11.20%,8.90%,,,,,,,,
Eads,95.85%,0.67%,0.80%,,,1.47%,1.20%,2.95%,$27,024.00,$35,625.00,$29,375.00,$19,792.00,$16,944.00,7.00%,12.00%,15.80%,13.50%,,,,,,,,
Eagle,87.30%,0.40%,0.80%,0.80%,0.02%,7.90%,2.60%,22.30%,,,,,,,,,,,,,,,,,
Eagle County,85.35%,0.34%,0.71%,0.82%,0.07%,10.80%,1.90%,23.24%,$62,682.00,$68,226.00,$37,603.00,$30,579.00,$32,011.00,3.90%,7.80%,6.80%,7.60%,,,,,,,,
Eagle-Vail,95.84%,0.28%,0.35%,0.45%,0.07%,1.04%,1.97%,4.50%,$87,297.00,$92,190.00,$40,599.00,$35,489.00,$37,260.00,0.00%,3.00%,0.00%,7.50%,,,,,,,,
East Pleasant View,95.93%,0.81%,,0.54%,,2.17%,0.54%,6.78%,$53,015.00,$59,167.00,$53,472.00,$30,795.00,$29,317.00,0.00%,9.20%,0.00%,0.00%,,,,,,,,
Eaton,91.12%,0.04%,0.52%,0.78%,,5.76%,1.78%,12.64%,$47,314.00,$55,144.00,$38,839.00,$27,292.00,$20,816.00,3.40%,5.30%,5.60%,10.10%,,,,,,,,
Eckley,85.25%,0.36%,1.80%,,,10.79%,1.80%,19.42%,$23,500.00,$26,250.00,$27,500.00,$14,375.00,$11,194.00,17.80%,20.50%,29.90%,0.00%,,,,,,,,
Edgewater,,,,,,,,,$42,072.00,$42,815.00,,,$22,696.00,17.50%,23.20%,28.20%,12.30%,,,,,,,,
Edwards,82.39%,0.34%,0.40%,0.82%,0.05%,14.56%,1.44%,27.24%,$70,869.00,$83,887.00,$42,009.00,$31,377.00,$39,784.00,2.90%,6.80%,6.00%,0.00%,,,,,,,,
El Jebel,87.79%,0.09%,0.27%,0.96%,0.02%,8.98%,1.89%,29.84%,$60,685.00,$62,047.00,$37,073.00,$29,688.00,$21,261.00,6.00%,9.40%,8.00%,15.90%,,,,,,,,
El Moro,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso County,81.19%,6.51%,0.91%,2.53%,0.24%,4.70%,3.91%,11.30%,,,,,,,,,,,,,,,,,
Elbert,,,,,,,,,,,,,,,,,,,,,,,,,
Elbert County,95.22%,0.64%,0.63%,0.37%,0.09%,1.28%,1.76%,3.85%,$62,480.00,$66,740.00,$45,329.00,$29,767.00,$24,960.00,2.50%,4.00%,4.60%,4.50%,,,,,,,,
Eldora,98.24%,,,,,,1.76%,5.88%,$51,875.00,$55,625.00,$41,563.00,$29,583.00,$22,191.00,0.00%,8.60%,,,,,,,,,,
