,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Cascade Valley,79.73%,2.87%,1.44%,0.33%,0.06%,11.32%,4.25%,17.12%,$37,344.00,$41,250.00,$35,179.00,$23,693.00,$16,170.00,13.50%,15.00%,18.10%,2.10%
Cashmere,89.71%,,0.54%,0.30%,0.07%,8.20%,1.18%,17.00%,$34,854.00,$45,347.00,$33,333.00,$25,439.00,$25,242.00,0.00%,9.90%,8.20%,11.90%
Cashup,,,,,,,,,,,,,,,,,
Castle Rock,93.19%,0.23%,2.02%,0.28%,0.38%,1.64%,2.25%,3.33%,$37,212.00,$44,125.00,$38,289.00,$25,000.00,$19,627.00,0.00%,4.60%,20.90%,7.50%
Cathcart,94.16%,0.46%,0.46%,0.80%,0.23%,1.39%,2.49%,2.82%,$65,357.00,$77,552.00,$52,425.00,$32,417.00,$28,716.00,1.90%,3.90%,1.10%,5.30%
Cathlamet,94.16%,0.53%,1.59%,0.88%,,0.35%,2.48%,0.53%,$33,409.00,$47,917.00,$35,625.00,$30,750.00,$18,588.00,9.60%,15.10%,12.60%,3.80%
Cavalero,,,,,,,,,,,,,,,,,
Cavalero Corner,,,,,,,,,,,,,,,,,
Cedar Falls,,,,,,,,,,,,,,,,,
Cedarhurst,,,,,,,,,,,,,,,,,
Cedarville, Whatcom County,,,,,,,,,,,,,,,,,
Cedonia,,,,,,,,,,,,,,,,,
Centerville,96.67%,,0.83%,,,0.83%,1.67%,4.17%,$31,250.00,$38,750.00,$18,750.00,$20,417.00,$14,915.00,6.70%,18.30%,48.00%,0.00%
Central Ferry,,,,,,,,,,,,,,,,,
Central Park,93.86%,0.08%,1.25%,1.21%,0.08%,0.51%,3.01%,1.80%,$45,719.00,$50,313.00,$41,081.00,$30,208.00,$21,003.00,6.40%,7.30%,5.80%,9.70%
Centralia,89.76%,0.44%,1.25%,0.94%,0.30%,4.94%,2.38%,10.22%,$30,078.00,$35,684.00,$31,595.00,$22,076.00,$20,917.00,0.00%,4.10%,24.40%,10.80%
Chain Lake,,,,,,,,,,,,,,,,,
Chambers,,,,,,,,,,,,,,,,,
Chard,,,,,,,,,,,,,,,,,
Chattaroy,,,,,,,,,,,,,,,,,
Chehalis,89.56%,1.35%,1.46%,1.20%,0.24%,3.95%,2.24%,7.91%,$33,482.00,$41,387.00,$32,289.00,$24,414.00,$15,944.00,16.00%,19.80%,27.60%,8.90%
Chelan,85.69%,0.11%,1.53%,0.48%,0.11%,9.23%,2.84%,14.45%,$28,047.00,$33,662.00,$31,900.00,$21,397.00,$16,511.00,17.30%,20.90%,31.30%,12.50%
Chelan County,79.30%,0.30%,1.00%,0.80%,0.10%,15.70%,2.70%,25.80%,$48,674.00,$57,856.00,$41,076.00,$34,261.00,$24,378.00,8.20%,11.50%,16.80%,9.00%
Chelan Falls,,,,,,,,,,,,,,,,,
Chelatchie,,,,,,,,,,,,,,,,,
Cheney,85.28%,2.11%,1.32%,6.34%,0.35%,1.71%,2.89%,4.35%,$22,593.00,$37,935.00,$27,745.00,$23,375.00,$16,569.00,0.00%,12.60%,25.40%,6.70%
Cherokee,,,,,,,,,,,,,,,,,
Cherry Grove,91.86%,1.96%,0.45%,0.15%,,3.17%,2.41%,5.28%,$58,750.00,$64,000.00,$40,750.00,$24,408.00,$20,760.00,0.00%,1.70%,0.00%,0.00%
Chesaw,,,,,,,,,,,,,,,,,
Chester,,,,,,,,,,,,,,,,,
Chewelah,92.96%,0.05%,1.69%,0.69%,0.05%,0.91%,3.66%,2.70%,$25,238.00,$33,750.00,$36,065.00,$18,938.00,$17,439.00,0.00%,4.30%,19.90%,15.70%
Chico,,,,,,,,,,,,,,,,,
Chief Joseph,,,,,,,,,,,,,,,,,
Chillowist,,,,,,,,,,,,,,,,,
Chimacum,,,,,,,,,,,,,,,,,
Chinook,96.50%,,0.88%,0.66%,,0.22%,1.75%,1.97%,$30,417.00,$40,000.00,$40,568.00,$20,625.00,$17,198.00,13.20%,18.20%,40.80%,0.00%
Chiwaukum,,,,,,,,,,,,,,,,,
Chuckanut,,,,,,,,,,,,,,,,,
Chumstick,,,,,,,,,,,,,,,,,
Cicero,,,,,,,,,,,,,,,,,
Cinebar,,,,,,,,,,,,,,,,,
Clallam Bay,,,,,,,,,,,,,,,,,
Clallam County,87.00%,0.80%,5.10%,1.40%,0.10%,1.80%,3.80%,5.10%,$44,398.00,$54,837.00,$44,609.00,$32,125.00,$24,449.00,9.50%,14.30%,21.40%,6.00%
Clark County,85.40%,2.00%,0.90%,4.10%,0.60%,2.90%,4.00%,7.60%,$58,262.00,$67,352.00,$52,160.00,$38,167.00,$27,828.00,7.80%,10.90%,14.90%,7.20%
Clarkston,94.43%,0.34%,1.61%,0.65%,0.03%,0.79%,2.15%,2.56%,$25,907.00,$32,093.00,$31,434.00,$20,654.00,$18,227.00,0.00%,5.90%,27.60%,8.10%
Clarkston Heights,97.09%,0.05%,0.90%,0.31%,0.03%,0.43%,1.19%,1.47%,$48,306.00,$54,223.00,$40,698.00,$26,359.00,$22,540.00,4.40%,6.40%,8.00%,5.50%
Clarkston Heights-Vineland,97.09%,0.05%,0.90%,0.31%,0.03%,0.43%,1.19%,1.47%,$48,306.00,$54,223.00,$40,698.00,$26,359.00,$22,540.00,4.40%,6.40%,8.00%,5.50%
Clayton,,,,,,,,,,,,,,,,,
Cle Elum,95.16%,0.51%,1.03%,0.57%,,0.85%,1.88%,3.36%,$28,144.00,$39,000.00,$32,750.00,$26,645.00,$21,711.00,0.00%,12.30%,22.30%,18.50%
Clear Lake, Pierce County,92.20%,0.40%,0.80%,0.80%,0.00%,1.70%,4.00%,3.20%,,,,,,,,,
Clear Lake, Skagit County,95.12%,0.11%,1.59%,0.53%,,0.85%,1.80%,1.59%,$37,143.00,$44,167.00,$37,500.00,$30,865.00,$22,223.00,16.70%,15.90%,15.80%,20.70%
Clearview,,,,,,,,,,,,,,,,,
Clearwater,,,,,,,,,,,,,,,,,
Cleveland,,,,,,,,,,,,,,,,,
Cliffdell,,,,,,,,,,,,,,,,,
Climax,,,,,,,,,,,,,,,,,
Clinton,92.51%,1.04%,1.04%,2.19%,,0.35%,2.88%,1.04%,$43,625.00,$51,667.00,$42,188.00,$35,804.00,$25,671.00,6.10%,7.10%,4.40%,0.00%
Clipper,,,,,,,,,,,,,,,,,
Clover Creek,,,,,,,,,,,,,,,,,
Cloverland,,,,,,,,,,,,,,,,,
Clyde,,,,,,,,,,,,,,,,,
Clyde Hill,89.62%,0.55%,0.17%,7.30%,,0.59%,1.76%,1.49%,$132,468.00,$150,237.00,$100,000.00,$50,909.00,,0.80%,,0.40%,0.00%
Coal Creek,,,,,,,,,,,,,,,,,
Cohassett Beach,94.82%,0.16%,2.59%,,0.16%,,2.27%,0.81%,$26,490.00,$35,875.00,$42,083.00,$36,938.00,$18,238.00,18.80%,20.60%,35.50%,16.70%
Cokedale,,,,,,,,,,,,,,,,,
Colbert,,,,,,,,,,,,,,,,,
Cole%s Corner,,,,,,,,,,,,,,,,,
Colfax,94.16%,0.25%,0.84%,2.07%,,0.60%,2.07%,1.48%,$36,622.00,$47,589.00,$32,188.00,$26,349.00,$5,438.00,0.00%,52.90%,9.70%,6.80%
