,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Groton,97.81%,,0.22%,0.88%,,,1.10%,,,,,,,,,,
Hampstead,98.47%,0.23%,0.08%,0.54%,0.05%,0.16%,0.47%,0.78%,,,,,,,,,
Hampton,96.10%,0.60%,0.20%,1.20%,0.10%,0.50%,1.30%,1.70%,,,,,,,,,
Hampton Falls,98.46%,0.05%,,0.74%,,0.05%,0.69%,0.69%,,,,,,,,,
Hancock,97.40%,0.40%,0.10%,0.80%,0.00%,0.20%,1.10%,1.00%,,,,,,,,,
Hanover,81.00%,3.40%,0.80%,10.80%,0.03%,0.70%,3.20%,3.90%,,,,,,,,,
Harrisville,97.77%,0.09%,0.56%,0.28%,,,1.30%,0.56%,,,,,,,,,
Hart%27s Location,97.30%,,,,,,2.70%,,,,,,,,,,
Haverhill,96.70%,0.40%,0.40%,0.90%,0.10%,0.30%,1.20%,1.30%,,,,,,,,,
Hebron,95.86%,0.44%,0.22%,0.22%,,1.74%,1.53%,,,,,,,,,,
Henniker,95.70%,1.20%,0.40%,1.10%,0.00%,0.50%,1.10%,1.70%,,,,,,,,,
Hill,98.99%,0.10%,0.10%,0.40%,0.10%,,0.30%,0.20%,,,,,,,,,
Hillsborough,96.40%,0.60%,0.30%,0.60%,0.03%,0.30%,1.80%,1.40%,,,,,,,,,
Hillsborough County,90.40%,2.10%,0.20%,3.20%,,2.10%,2.00%,5.30%,,,,,,,,,
Hinsdale,96.50%,0.50%,0.20%,0.50%,0.30%,0.30%,1.60%,1.40%,,,,,,,,,
Holderness,97.88%,0.47%,0.05%,0.36%,,0.10%,1.14%,0.41%,,,,,,,,,
Hollis,96.59%,0.44%,0.11%,1.65%,0.01%,0.17%,1.01%,0.93%,,,,,,,,,
Hooksett,94.60%,1.00%,0.20%,2.00%,0.10%,0.70%,1.50%,2.10%,,,,,,,,,
Hopkinton,97.70%,0.30%,0.10%,0.60%,0.07%,0.10%,1.20%,1.00%,,,,,,,,,
Hudson,93.00%,1.40%,0.10%,3.00%,0.02%,0.90%,1.60%,2.90%,,,,,,,,,
Jackson,99.28%,,0.24%,0.12%,0.12%,,0.24%,0.12%,,,,,,,,,
Jaffrey,96.20%,0.40%,0.20%,1.20%,0.04%,0.30%,1.70%,1.60%,,,,,,,,,
Jefferson,98.31%,,0.10%,0.10%,0.10%,,1.39%,0.10%,,,,,,,,,
Keene,95.30%,0.60%,0.20%,2.00%,0.00%,0.50%,1.40%,1.60%,,,,,,,,,
Kensington,98.31%,0.11%,0.21%,0.63%,,,0.74%,,,,,,,,,,
Laconia,96.79%,0.55%,0.41%,0.73%,0.02%,0.27%,1.22%,0.99%,,,,,,,,,
Lancaster,96.80%,0.30%,0.70%,0.60%,0.03%,0.40%,1.10%,1.70%,,,,,,,,,
Landaff,96.56%,,0.26%,,,,3.17%,0.79%,,,,,,,,,
Langdon,99.66%,,,,,0.17%,0.17%,0.17%,,,,,,,,,
