,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Clarksburg,98.80%,0.20%,,,,0.12%,0.00%,0.90%,,,,,,,,,
Clinton,88.20%,2.58%,0.22%,0.89%,0.04%,5.95%,2.13%,11.60%,,,,,,,,,
Clinton (CDP),89.62%,2.32%,0.25%,0.76%,0.06%,4.90%,2.08%,11.07%,$43,570.00,$52,686.00,$36,920.00,$27,039.00,$21,857.00,5.30%,7.90%,5.60%,14.70%
Cochituate,90.90%,0.93%,0.09%,6.24%,0.06%,0.24%,1.55%,1.00%,$89,012.00,$101,362.00,$71,500.00,$50,223.00,$42,752.00,1.80%,2.20%,1.10%,4.30%
Cohasset,98.20%,0.18%,0.07%,0.76%,0.03%,0.19%,0.58%,0.69%,,,,,,,,,
Colrain,98.65%,0.00%,,0.33%,,0.11%,0.88%,0.99%,,,,,,,,,
Concord,91.64%,2.24%,0.09%,2.90%,0.02%,2.12%,0.99%,2.80%,,,,,,,,,
Conway,98.73%,0.17%,0.22%,0.50%,,0.11%,0.28%,0.94%,,,,,,,,,
Cordaville,87.30%,0.71%,,9.39%,0.00%,0.80%,1.80%,2.50%,$149,425.00,$157,097.00,,,,0.00%,0.40%,0.00%,0.00%
Cummington,96.42%,0.61%,0.41%,0.31%,,0.51%,1.74%,3.27%,,,,,,,,,
Dalton,97.78%,0.51%,0.12%,0.71%,,0.44%,0.45%,1.02%,,,,,,,,,
Danvers,97.72%,0.35%,0.10%,1.11%,0.02%,0.22%,0.48%,0.83%,$58,779.00,$70,565.00,$48,058.00,$33,825.00,$26,852.00,1.70%,2.90%,3.00%,4.40%
Dedham,94.51%,1.54%,0.16%,1.87%,0.04%,0.80%,1.08%,2.42%,$61,699.00,$72,330.00,$46,216.00,$35,682.00,$28,199.00,3.20%,4.60%,3.90%,6.50%
Dedham,94.51%,1.54%,0.16%,1.87%,0.04%,0.80%,1.08%,2.42%,,,,,,,,,
Deerfield,95.00%,0.80%,0.10%,1.90%,,0.50%,1.80%,2.60%,,,,,,,,,
Deerfield (CDP),,,,,,,,,,,,,,,,,
Dennis,94.99%,1.93%,0.37%,0.37%,,0.88%,1.46%,1.65%,,,,,,,,,
Dennis (CDP),97.86%,0.25%,0.11%,0.46%,,0.32%,1.00%,1.04%,$51,286.00,$60,000.00,$45,313.00,$36,167.00,$27,113.00,2.30%,3.40%,0.00%,5.60%
Dennis Port,90.03%,4.90%,0.36%,0.39%,,1.74%,2.57%,2.99%,$36,518.00,$41,525.00,$36,568.00,$29,398.00,$23,872.00,10.50%,10.70%,19.60%,6.10%
Devens,,,,,,,,,,,,,,,,,
Dighton,97.80%,0.53%,0.19%,0.49%,0.02%,0.28%,0.70%,1.07%,,,,,,,,,
Douglas,97.36%,0.48%,0.13%,0.64%,0.07%,0.28%,1.04%,0.95%,,,,,,,,,
Dover,95.18%,0.41%,0.04%,3.63%,0.02%,0.05%,0.67%,1.19%,,,,,,,,,
Dover (CDP),96.39%,0.09%,,2.98%,,0.05%,0.50%,1.04%,$143,312.00,$153,789.00,$100,000.00,$62,500.00,$64,922.00,2.20%,2.40%,3.90%,2.50%
Dudley,96.83%,0.23%,0.23%,0.74%,,0.75%,0.97%,2.01%,,,,,,,,,
Dukes County,87.60%,3.10%,1.10%,0.80%,0.10%,3.90%,3.40%,2.30%,,,,,,,,,
Dunstable,97.49%,0.11%,0.04%,1.52%,,0.07%,0.78%,0.53%,,,,,,,,,
Duxbury,98.00%,0.60%,0.30%,1.40%,0.10%,0.50%,0.80%,1.20%,,,,,,,,,
Duxbury (CDP),98.18%,0.07%,0.14%,0.84%,,0.35%,0.42%,0.70%,$105,683.00,$125,346.00,$85,783.00,$45,417.00,$44,589.00,1.60%,2.60%,3.70%,5.30%
East Bridgewater,96.91%,0.99%,0.17%,0.48%,0.03%,0.33%,1.09%,0.75%,,,,,,,,,
East Brookfield,98.52%,0.43%,0.24%,0.14%,,0.14%,0.52%,0.76%,,,,,,,,,
East Brookfield (CDP),98.87%,0.21%,0.07%,0.14%,,0.14%,0.57%,0.78%,$50,774.00,$60,000.00,$42,305.00,$26,563.00,$22,161.00,3.90%,4.50%,3.80%,12.20%
East Dennis,97.09%,0.79%,0.21%,0.33%,,0.73%,0.85%,1.67%,$47,857.00,$57,177.00,$46,627.00,$30,230.00,$27,466.00,5.60%,7.70%,18.20%,1.90%
East Douglas,97.59%,0.43%,,0.43%,,0.39%,1.16%,0.86%,$55,208.00,$58,517.00,$41,116.00,$31,420.00,$22,274.00,6.80%,9.70%,13.60%,26.00%
East Falmouth,92.20%,2.92%,0.48%,0.51%,0.02%,1.68%,2.19%,1.75%,$42,788.00,$48,302.00,$36,884.00,$26,875.00,$24,041.00,6.20%,8.00%,12.00%,4.60%
East Harwich,96.65%,0.34%,0.15%,0.38%,0.04%,1.08%,1.37%,0.93%,$46,777.00,$51,750.00,$39,068.00,$26,977.00,$22,450.00,2.10%,4.10%,8.30%,0.00%
East Longmeadow,97.52%,0.74%,0.04%,0.88%,0.05%,0.24%,0.52%,0.92%,,,,,,,,,
East Pepperell,96.21%,0.84%,0.20%,0.39%,,0.69%,1.67%,1.18%,$55,272.00,$57,391.00,$38,897.00,$31,129.00,$20,759.00,0.00%,1.80%,0.00%,25.60%
East Sandwich,98.68%,0.22%,0.08%,0.35%,0.03%,0.22%,0.43%,0.67%,$66,318.00,$74,457.00,$53,304.00,$36,042.00,$32,676.00,1.50%,2.20%,4.00%,1.90%
Eastham,96.31%,1.49%,0.15%,0.31%,0.04%,0.29%,1.41%,0.83%,,,,,,,,,
Easthampton,93.60%,,0.20%,2.40%,0.10%,1.10%,1.60%,3.70%,,,,,,,,,
Easton,91.94%,1.59%,0.04%,1.39%,0.01%,4.13%,0.91%,1.58%,,,,,,,,,
Edgartown,93.33%,1.77%,0.45%,0.53%,0.05%,1.53%,2.33%,1.16%,,,,,,,,,
Egremont,98.36%,0.07%,0.07%,0.30%,,0.30%,0.89%,1.04%,,,,,,,,,
Erving,96.80%,0.14%,0.82%,0.14%,,0.41%,1.70%,0.89%,,,,,,,,,
Essex,98.50%,0.15%,0.12%,0.43%,0.03%,0.21%,0.55%,0.92%,,,,,,,,,
Essex (CDP),98.88%,0.21%,0.00%,0.28%,0.07%,0.14%,0.42%,0.98%,$52,039.00,$61,976.00,$44,000.00,$31,987.00,$31,255.00,5.70%,1.30%,1.10%,15.00%
Essex County,81.90%,3.80%,0.40%,3.10%,,8.20%,2.60%,16.50%,,,,,,,,,
Everett,53.60%,14.30%,,4.80%,0.40%,2.00%,3.80%,21.10%,,,,,,,,,
Fairhaven,96.32%,0.60%,0.26%,0.44%,0.02%,1.19%,1.17%,0.84%,,,,,,,,,
Falmouth,93.39%,1.82%,0.51%,0.92%,0.02%,1.44%,1.91%,1.28%,,,,,,,,,
Falmouth (CDP),94.97%,1.43%,0.44%,0.92%,,1.17%,1.07%,1.29%,$34,286.00,$47,500.00,$41,899.00,$30,088.00,$26,292.00,5.90%,8.90%,8.20%,9.10%
Fiskdale,95.87%,0.60%,0.60%,0.42%,0.09%,0.93%,1.48%,2.23%,$48,924.00,$60,032.00,$47,609.00,$26,496.00,$24,118.00,8.60%,11.40%,16.50%,20.30%
Fitchburg,78.20%,5.10%,0.30%,3.60%,0.00%,9.10%,3.70%,21.60%,,,,,,,,,
