Type,State,Subdivision,1790pop,1800pop,1810pop,1820pop,1830pop,1840pop,1850pop,1860pop,1870pop,1880pop,1890pop,1900pop,1910pop,1920pop,1930pop,1940pop,1950pop,1960pop,1970pop,1980pop,1990pop,2000pop,2010pop
County,North Carolina,Swain,,,,,,,,,,3784,6577,8401,10403,13224,11568,12177,9921,8387,7861,10283,11268,12968,14043
County,North Carolina,Transylvania,,,,,,,,,3536,5340,5881,6620,7191,9303,9589,12241,15194,16372,19713,23417,25520,29334,32820
County,North Carolina,Tyrrell,4826,3395,3364,4319,4732,4657,5133,4944,4173,4545,4225,4980,5219,4849,5164,5556,5048,4520,3806,3975,3856,4149,4364
County,North Carolina,Union,,,,,,,10051,11202,12217,18056,21259,27156,33277,36029,40979,39097,42034,44670,54714,70380,84211,123677,205463
County,North Carolina,Vance,,,,,,,,,,,17581,16684,19425,22799,27294,29961,32101,32002,32691,36748,38892,42954,45307
County,North Carolina,Wake,10198,13437,17086,20102,20398,21118,24888,28627,35617,47939,49207,54626,63229,75155,94757,109544,136450,169082,228453,301327,423380,627846,929780
County,North Carolina,Warren,9379,11284,11004,11158,11877,12919,13912,15726,17768,22619,19360,19151,20266,21593,23364,23145,23539,19652,15810,16232,17265,19972,20861
County,North Carolina,Washington,,2422,3464,3986,4552,4525,5664,6357,6516,8928,10200,10608,11062,11429,11603,12323,13180,13488,14038,14801,13997,13723,12973
County,North Carolina,Watauga,,,,,,,3400,4957,5287,8160,10611,13417,13556,13477,15165,18114,18342,17529,23404,31666,36952,42695,51333
County,North Carolina,Wayne,6115,6772,8687,9040,10331,10891,13486,14905,18144,24951,26100,31356,35698,43640,53013,58328,64267,82059,85408,97054,104666,113329,123697
County,North Carolina,Wilkes,8157,7247,9054,9967,11968,12577,12099,14749,15539,19181,22675,26872,30282,32644,36162,43003,45243,45269,49524,58657,59393,65632,68984
County,North Carolina,Wilson,,,,,,,,9720,12258,16064,18644,23596,28269,36813,44914,50219,54506,57716,57486,63132,66061,73814,81452
County,North Carolina,Yadkin,,,,,,,,10714,10697,12420,13790,14083,15428,16391,18010,20657,22133,22804,24599,28439,30488,36348,38279
County,North Carolina,Yancey,,,,,,5962,8205,8655,5909,7694,9490,11464,12072,15093,14486,17202,16306,14008,12629,14934,15419,17774,17701
State,North Dakota,–,,,,,,,,,,,182719,319146,577056,646872,680845,641935,619636,632444,617761,652717,638800,642200,672591
County,North Dakota,Adams,,,,,,,,,,,,,5407,5593,6343,4664,4910,4449,3832,3584,3174,2593,2343
County,North Dakota,Barnes,,,,,,,,,,,7045,13159,18066,18678,18804,17814,16884,16719,14669,13960,12545,11775,11066
County,North Dakota,Benson,,,,,,,,,,,2460,8320,12681,13095,13327,12629,10675,9435,8245,7944,7198,6964,6660
County,North Dakota,Billings,,,,,,,,,,,170,975,10186,3126,3140,2531,1777,1513,1198,1138,1108,888,783
County,North Dakota,Bottineau,,,,,,,,,,,2893,7532,17295,15109,14853,13253,12140,11315,9496,9239,8011,7149,6429
County,North Dakota,Bowman,,,,,,,,,,,6,,4668,4768,5119,3860,4001,4154,3901,4229,3596,3242,3151
County,North Dakota,Buford,,,,,,,,,,,803,,,,,,,,,,,,
County,North Dakota,Burke,,,,,,,,,,,,,9064,9511,9998,7653,6621,5886,4739,3822,3002,2242,1968
County,North Dakota,Burleigh,,,,,,,,,,,4247,6081,13087,15578,19769,22736,25673,34016,40714,54811,60131,69416,81308
County,North Dakota,Cass,,,,,,,,,,,19613,28625,33935,41477,48735,52849,58877,66947,73653,88247,102874,123138,149778
County,North Dakota,Cavalier,,,,,,,,,,,6471,12580,15659,15555,14554,13923,11840,10064,8213,7636,6064,4831,3993
County,North Dakota,Church,,,,,,,,,,,74,,,,,,,,,,,,
County,North Dakota,Dickey,,,,,,,,,,,5573,6061,9839,10499,10877,9696,9121,8147,6976,7207,6107,5757,5289
County,North Dakota,Divide,,,,,,,,,,,,,6015,9637,9636,7086,5967,5566,4564,3494,2899,2283,2071
County,North Dakota,Dunn,,,,,,,,,,,159,,5302,8828,9566,8376,7212,6350,4895,4627,4005,3600,3536
County,North Dakota,Eddy,,,,,,,,,,,1377,3330,4800,6493,6346,5741,5372,4936,4103,3554,2951,2757,2385
County,North Dakota,Emmons,,,,,,,,,,,1971,4349,9796,11288,12467,11699,9715,8462,7200,5877,4830,4331,3550
County,North Dakota,Flannery,,,,,,,,,,,72,,,,,,,,,,,,
County,North Dakota,Foster,,,,,,,,,,,1210,3770,5313,6108,6353,5824,5337,5361,4832,4611,3983,3759,3343
County,North Dakota,Garfield,,,,,,,,,,,33,,,,,,,,,,,,
County,North Dakota,Golden Valley,,,,,,,,,,,,,,4832,4122,3498,3499,3100,2611,2391,2108,1924,1680
County,North Dakota,Grand Forks,,,,,,,,,,,18357,24459,27888,28795,31956,34518,39443,48677,61102,66100,70683,66109,66861
County,North Dakota,Grant,,,,,,,,,,,,,,9553,10134,8264,7114,6248,5009,4274,3549,2841,2394
County,North Dakota,Griggs,,,,,,,,,,,2817,4744,6274,7402,6889,5818,5460,5023,4184,3714,3303,2754,2420
County,North Dakota,Hettinger,,,,,,,,,,,81,,6557,7685,8796,7457,7100,6317,5075,4275,3445,2715,2477
County,North Dakota,Kidder,,,,,,,,,,,1211,1754,5962,7798,8031,6692,6168,5386,4362,3833,3332,2753,2435
County,North Dakota,La Moure,,,,,,,,,,,3187,6048,10724,11564,11517,10298,9498,8705,7117,6473,5383,4701,4139
County,North Dakota,Logan,,,,,,,,,,,597,1625,6168,7723,8089,7561,6357,5369,4245,3493,2847,2308,1990
County,North Dakota,McHenry,,,,,,,,,,,1584,5253,17627,15544,15439,14034,12556,11099,8977,7858,6528,5987,5395
County,North Dakota,McIntosh,,,,,,,,,,,3248,4818,7251,9010,9621,8984,7590,6702,5545,4800,4021,3390,2809
County,North Dakota,McKenzie,,,,,,,,,,,3,,5720,9544,9709,8426,6849,7296,6127,7132,6383,5737,6360
County,North Dakota,McLean,,,,,,,,,,,860,4791,14496,17266,17991,16082,18824,14030,11251,12383,10457,9311,8962
County,North Dakota,Mercer,,,,,,,,,,,428,1778,4747,8224,9516,9611,8686,6805,6175,9404,9808,8644,8424
County,North Dakota,Morton,,,,,,,,,,,4728,8069,25289,18714,19647,20184,19295,20992,20310,25177,23700,25303,27471
County,North Dakota,Mountrail,,,,,,,,,,,122,,8491,12140,13544,10482,9418,10077,8437,7679,7021,6631,7673
County,North Dakota,Nelson,,,,,,,,,,,4293,7316,10140,10362,10203,9129,8090,7034,5776,5233,4410,3715,3126
County,North Dakota,Oliver,,,,,,,,,,,464,990,3577,4425,4262,3859,3091,2610,2322,2495,2381,2065,1846
County,North Dakota,Pembina,,,,,,,,,,,14334,17869,14749,15177,14757,15671,13990,12946,10728,10399,9238,8585,7413
County,North Dakota,Pierce,,,,,,,,,,,905,4765,9740,9283,9074,9208,8326,7394,6323,6166,5052,4675,4357
County,North Dakota,Ramsey,,,,,,,,,,,4418,9198,15199,15427,16252,15626,14373,13443,12915,13048,12681,12066,11451
County,North Dakota,Ransom,,,,,,,,,,,5393,6919,10345,11618,10983,10061,8876,8078,7102,6698,5921,5890,5457
County,North Dakota,Renville,,,,,,,,,,,99,,7840,7776,7263,5533,5405,4698,3828,3608,3160,2610,2470
County,North Dakota,Richland,,,,,,,,,,,10751,17387,19659,20887,21008,20519,19865,18824,18089,19207,18148,17998,16321
County,North Dakota,Rolette,,,,,,,,,,,2427,7995,9558,10061,10760,12583,11102,10641,11549,12177,12772,13674,13937
County,North Dakota,Sargent,,,,,,,,,,,5076,6039,9202,9655,9298,8693,7616,6856,5937,5512,4549,4366,3829
County,North Dakota,Sheridan,,,,,,,,,,,5,,8103,7935,7373,6616,5253,4350,3232,2819,2148,1710,1321
County,North Dakota,Sioux,,,,,,,,,,,,,,3308,4687,4419,3696,3662,3632,3620,3761,4044,4153
County,North Dakota,Slope,,,,,,,,,,,,,,4940,4150,2932,2315,1893,1484,1157,907,767,727
Reservation,North Dakota,Standing Rock Res,,,,,,,,,,,,2208,,,,,,,,,,,
County,North Dakota,Stark,,,,,,,,,,,2304,7621,12504,13542,15340,15414,16137,18451,19613,23697,22832,22636,24199
County,North Dakota,Steele,,,,,,,,,,,3777,5888,7616,7401,6972,6193,5145,4719,3749,3106,2420,2258,1975
County,North Dakota,Stevens,,,,,,,,,,,16,,,,,,,,,,,,
County,North Dakota,Stutsman,,,,,,,,,,,5266,9143,18189,24575,26100,23495,24158,25137,23550,24154,22241,21908,21100
County,North Dakota,Towner,,,,,,,,,,,1450,6491,8963,8327,8393,7200,6360,5624,4645,4052,3627,2876,2246
County,North Dakota,Traill,,,,,,,,,,,10217,13107,12545,12210,12600,12300,11359,10581,9571,9624,8752,8477,8121
County,North Dakota,Walsh,,,,,,,,,,,16587,20288,19491,19078,20047,20747,18859,17997,16251,15371,13840,12389,11119
County,North Dakota,Ward,,,,,,,,,,,1681,7961,25281,28811,33597,31981,34782,47072,58560,58392,57921,58795,61675
County,North Dakota,Wells,,,,,,,,,,,1212,8310,11814,12957,13285,11198,10417,9237,7847,6979,5864,5102,4207
County,North Dakota,Williams,,,,,,,,,,,109,1530,14234,17980,19553,16315,16442,22051,19301,22237,21129,19761,22398
