,1850,1850,1860,1860,1870,1870,1880,1880,1890,1890,1900,1900,1910,1910,1920,1920,1930,1930,1940,1940,1950,1950,1960,1960,1970,1970,1980,1980,1990,1990,2000,2000,2010,2010
,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state,Population,% of state
San Benito,--,--,--,--,--,--,5584,0.46%,"6,412",0.43%,"6,633",0.28%,"8,041",0.23%,"8,995",0.16%,"11,311",0.16%,"11,392",0.11%,"14,370",0.09%,"15,396",0.08%,"18,226",0.08%,"25,005",0.08%,"36,697",0.11%,"53,234",0.14%,"55,269",0.15%
San Bernardino,--,--,--,--,--,--,--,--,--,--,"27,929",1.88%,"56,706",2.39%,"73,401",2.14%,"133,900",2.36%,"161,108",2.33%,"281,642",2.66%,"503,591",3.20%,"684,072",3.43%,"895,016",3.78%,"1,418,380",4.77%,"1,709,434",5.05%,"2,035,210",5.46%
San Diego,798,0.86%,"4,324",1.14%,"4,951",0.88%,"8,018",0.93%,"34,987",2.88%,"35,090",2.36%,"61,665",2.59%,"112,248",3.28%,"209,659",3.69%,"289,348",4.19%,"556,808",5.26%,"1,033,011",6.57%,"1,357,854",6.81%,"1,861,846",7.87%,"2,498,016",8.39%,"2,813,833",8.31%,"3,095,313",8.31%
San Francisco,--,--,"56,802",14.95%,"149,473",26.68%,"233,959",27.06%,"298,997",24.64%,"342,782",23.08%,"416,912",17.54%,"506,676",14.79%,"634,394",11.17%,"634,536",9.19%,"775,357",7.32%,"740,316",4.71%,"715,674",3.59%,"678,974",2.87%,"723,959",2.43%,"776,733",2.29%,"805,235",2.16%
San Joaquin,"3,647",3.94%,"9,435",2.48%,"21,050",3.76%,"24,349",2.82%,"28,629",2.36%,"35,452",2.39%,"50,731",2.13%,"79,905",2.33%,"102,940",1.81%,"134,207",1.94%,"200,750",1.90%,"249,989",1.59%,"290,208",1.45%,"347,342",1.47%,"480,628",1.62%,"563,598",1.66%,"685,306",1.84%
San Luis Obispo,336,0.36%,"1,782",0.47%,"4,772",0.85%,"9,142",1.06%,"16,072",1.32%,"16,637",1.12%,"19,383",0.82%,"21,893",0.64%,"29,613",0.52%,"33,246",0.48%,"51,417",0.49%,"81,044",0.52%,"105,690",0.53%,"155,435",0.66%,"217,162",0.73%,"246,681",0.73%,"269,637",0.72%
San Mateo,--,--,"3,214",0.85%,"6,635",1.18%,"8,669",1.00%,"10,087",0.83%,"12,094",0.81%,"26,585",1.12%,"36,781",1.07%,"77,405",1.36%,"111,782",1.62%,"235,659",2.23%,"444,387",2.83%,"556,234",2.79%,"587,329",2.48%,"649,623",2.18%,"707,161",2.09%,"718,451",1.93%
Santa Barbara,"1,185",1.28%,"3,543",0.93%,"7,784",1.39%,"9,513",1.10%,"15,754",1.30%,"18,934",1.27%,"27,738",1.17%,"41,097",1.20%,"65,167",1.15%,"70,555",1.02%,"98,220",0.93%,"168,962",1.08%,"264,324",1.32%,"298,694",1.26%,"369,608",1.24%,"399,347",1.18%,"423,895",1.14%
Santa Clara,--,--,"11,912",3.13%,"26,246",4.68%,"35,039",4.05%,"48,005",3.96%,"60,216",4.05%,"83,539",3.51%,"100,676",2.94%,"145,118",2.56%,"174,949",2.53%,"290,547",2.74%,"642,315",4.09%,"1,064,714",5.34%,"1,295,071",5.47%,"1,497,577",5.03%,"1,682,585",4.97%,"1,781,642",4.78%
Santa Cruz,643,0.69%,"4,944",1.30%,"8,743",1.56%,"12,802",1.48%,"19,270",1.59%,"21,512",1.45%,"26,140",1.10%,"26,269",0.77%,"37,433",0.66%,"45,057",0.65%,"66,534",0.63%,"84,219",0.54%,"123,790",0.62%,"188,141",0.79%,"229,734",0.77%,"255,602",0.75%,"262,382",0.70%
