State,Year,Office,County,D#,R#,S#,SL#,SW#,S&L#,Comm.#,FL#,ND#,SD#,Proh.#,NP#,PF#,Pop.#,Prog.#,U#,AI#,I1#,I2#,I3#,Ref.#,NL#,G#,L#,W/I#,GR#,Am.F#,ER#,NT#,WL#,Pat.#,NA#,BD#,SM#,Cit.#,Labor#,Univ.#,Pet.1#,Pet.2#,UC#,ACP#,New I#,LMN#,SRD#,Peace I#,Am.#,Iowa#,New IA#,PND#,Pet.3#,Pet.4#,BQFTL#,CON#,Pet.#,Clear Water #,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,C#,NI#,All.#,Geneol.#
Iowa,2012,President,Louisa,2452,2420,,,1,0,,,,,,,,,,,21,4,,,,,11,20,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Lucas,1987,2254,,,1,1,,,,,,,,,,,18,4,,,,,4,20,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Lyon,1423,4978,,,2,1,,,,,,,,,,,23,6,,,,,14,39,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Madison,3630,4638,,,3,0,,,,,,,,,,,29,11,,,,,14,90,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Mahaska,4213,6448,,,1,5,,,,,,,,,,,30,5,,,,,28,82,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Marion,7507,9828,,,7,10,,,,,,,,,,,43,9,,,,,30,149,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Marshall,10257,8472,,,4,6,,,,,,,,,,,56,22,,,,,31,116,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Mills,2848,4216,,,2,7,,,,,,,,,,,14,6,,,,,19,68,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Mitchell,2831,2643,,,2,2,,,,,,,,,,,5,6,,,,,17,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Monona,2101,2557,,,1,3,,,,,,,,,,,9,3,,,,,10,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Monroe,1731,2026,,,2,2,,,,,,,,,,,17,4,,,,,5,22,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Montgomery,1922,3001,,,2,1,,,,,,,,,,,11,8,,,,,18,42,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Muscatine,11323,8168,,,6,3,,,,,,,,,,,42,11,,,,,48,177,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,O'Brien,1969,5266,,,6,3,,,,,,,,,,,18,2,,,,,10,33,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Osceola,912,2230,,,4,1,,,,,,,,,,,12,3,,,,,9,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,2012,President,Page,2613,4348,,,12,1,,,,,,,,,,,15,5,,,,,12,43,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
