State,Year,Office,County,D#,R#,CO1#,CO2#,CO3#,CC#,UIA#,ER#,CMT#,U#,Justice#,S#,Comm.#,Wor.#,SD#,PC#,Proh.#,Prog.#,SL#,FL#,PF#,SW#,AI#,Am#,IND#,I1#,I2#,I3#,I4#,I5#,Pop.#,NL#,Ref.#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,IA#,Cit.#,Am.#,I#,Year / Office,W/I#
Utah,1912,President,Iron,544,695,,,,,,,,,,95,,,,,,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Juab,985,1171,,,,,,,,,,800,,,,,,344,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Kane,115,426,,,,,,,,,,5,,,,,,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Millard,865,970,,,,,,,,,,123,,,,,,397,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Morgan,233,318,,,,,,,,,,45,,,,,,273,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Piute,110,205,,,,,,,,,,87,,,,,,146,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Rich,238,329,,,,,,,,,,6,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Salt Lake,10468,12719,,,,,,,,,,3798,,,,,,8899,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,San Juan,146,146,,,,,,,,,,4,,,,,,96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Sanpete,1984,2488,,,,,,,,,,173,,,,,,1272,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Sevier,915,1452,,,,,,,,,,287,,,,,,807,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Summit,983,1290,,,,,,,,,,226,,,,,,425,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Tooele,646,950,,,,,,,,,,284,,,,,,261,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Uintah,566,545,,,,,,,,,,165,,,,,,641,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Utah,4636,4185,,,,,,,,,,664,,,,,,2295,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Wasatch,957,1210,,,,,,,,,,294,,,,,,432,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Washington,842,712,,,,,,,,,,6,,,,,,72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Wayne,183,282,,,,,,,,,,53,,,,,,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1912,President,Weber,2986,3171,,,,,,,,,,969,,,,,,3608,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Beaver,1291,842,,,,,,,,,,61,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Box Elder,2957,2416,,,,,,,,,,34,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Cache,5305,3756,,,,,,,,,,75,,,,,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Carbon,1478,1301,,,,,,,,,,147,,,,,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Davis,2131,1641,,,,,,,,,,22,,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Duchesne,1443,687,,,,,,,,,,410,,,,,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Emery,1406,896,,,,,,,,,,88,,,,,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Garfield,843,516,,,,,,,,,,16,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Grand,306,213,,,,,,,,,,19,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Iron,1156,825,,,,,,,,,,76,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Juab,2221,1248,,,,,,,,,,151,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Kane,329,304,,,,,,,,,,14,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Millard,1804,1293,,,,,,,,,,94,,,,,6,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Morgan,484,464,,,,,,,,,,8,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Piute,417,269,,,,,,,,,,55,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Rich,454,325,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Salt Lake,30707,17593,,,,,,,,,,1778,,,,,70,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,San Juan,448,213,,,,,,,,,,15,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Sanpete,3382,2918,,,,,,,,,,78,,,,,1,75,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Sevier,2052,1720,,,,,,,,,,67,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Summit,1495,1195,,,,,,,,,,240,,,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Tooele,1528,1124,,,,,,,,,,113,,,,,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Uintah,1459,712,,,,,,,,,,94,,,,,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Utah,8235,5201,,,,,,,,,,410,,,,,11,13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Wasatch,885,817,,,,,,,,,,14,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Washington,1397,703,,,,,,,,,,4,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Wayne,393,225,,,,,,,,,,9,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1916,President,Weber,8139,4720,,,,,,,,,,368,,,,,46,9,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Beaver,741,1056,,,,,,,,,,25,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Box Elder,2330,3421,,,,,,,,,,35,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Cache,4239,5063,,,,,,,,,,53,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Carbon,1559,1675,,,,,,,,,,102,,,,,,,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Daggett,32,94,,,,,,,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Davis,1632,2463,,,,,,,,,,19,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Duchesne,822,1523,,,,,,,,,,48,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Emery,1029,1285,,,,,,,,,,68,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Garfield,393,1023,,,,,,,,,,9,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Grand,278,306,,,,,,,,,,8,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Iron,561,1399,,,,,,,,,,48,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Juab,1308,1692,,,,,,,,,,145,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Kane,186,501,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Millard,1167,2199,,,,,,,,,,126,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Morgan,397,544,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Piute,283,538,,,,,,,,,,13,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Rich,222,449,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1920,President,Salt Lake,19249,27841,,,,,,,,,,1483,,,,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
