State,Year,Office,County,D#,R#,GB#,ND#,SD#,Proh.#,Comm.#,SW#,SL#,S&L#,Labor#,Workers#,IG#,FP#,RTL#,Cit.#,S#,UL1#,UL2#,FL#,IL#,Pop.#,Prog.#,AL#,Courage#,C#,IND#,I#,Ref.#,NL#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#,CON#,Builders#,SE#,IProg.#,WW#,Ind. Fus.#,M#,Anti-Proh.#,TR#,RTH#,PF#,CS#,W/I#,Sapient#,Freedom#,Anti-Proh#,Ind. Soc.#,Liberal#,Ind.#,SAM#,Unity#,Year / Office
New York,,,Suffolk,169471,203993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,2174,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,2010 Comptroller
New York,,,Sullivan,8961,10182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,186,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,2010 Comptroller
New York,,,Tioga,4671,10345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,151,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,2010 Comptroller
New York,,,Tompkins,16015,10436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1217,206,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,2010 Comptroller
New York,,,Ulster,28407,27595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967,445,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,2010 Comptroller
New York,,,Warren,7599,13576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568,150,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2010 Comptroller
New York,,,Washington,5896,10841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535,167,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2010 Comptroller
New York,,,Wayne,7739,17351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,234,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,2010 Comptroller
New York,,,Westchester,127286,123539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3439,1027,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2010 Comptroller
New York,,,Wyoming,3242,8147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583,122,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2010 Comptroller
New York,,,Yates,2227,4270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,73,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2010 Comptroller
New York,,,Albany,47818,34020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2646,635,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,2014 Attorney General
New York,,,Allegany,3375,7837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,129,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2014 Attorney General
New York,,,Bronx,117275,12888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3152,322,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,2014 Attorney General
New York,,,Broome,21462,26805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,434,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,2014 Attorney General
New York,,,Cattaraugus,6827,11246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,176,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2014 Attorney General
New York,,,Cayuga,8211,11367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,142,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,2014 Attorney General
