State,Year,County,Office,D#,R#,LD#,Prog.#,Proh.#,G#,IND#,L#,Ref.#,NL#,S#,SL#,Am.#,BE#,ADP#,NL#,Cit#,I#,SR#,Labor#,NA#,DR#,F1#,F2#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#
Delaware,1968,Kent,Governor,13471,10348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1968,New Castle,Governor,74323,77209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1968,Sussex,Governor,14566,16917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1972,Kent,Governor,17331,10254,,,37,,,,,,,,263,,,,,,,,,,,,,,,,,,,,,,
Delaware,1972,New Castle,Governor,81043,85560,,,305,,,,,,,,951,,,,,,,,,,,,,,,,,,,,,,
Delaware,1972,Sussex,Governor,18900,13769,,,55,,,,,,,,254,,,,,,,,,,,,,,,,,,,,,,
Delaware,1976,Kent,Governor,16540,11849,,,36,,,,,,,,377,,,,,,,,,,,,,,,,,,,,,,
Delaware,1976,New Castle,Governor,64756,100032,,,229,,,,,,,,733,,,,,,,,,,,,,,,,,,,,,,
Delaware,1976,Sussex,Governor,16184,18650,,,32,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,
Delaware,1980,Kent,Governor,8666,19895,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1980,New Castle,Governor,43821,115150,,,,,,1498,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1980,Sussex,Governor,11730,23959,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1984,Kent,Governor,14234,17894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1984,New Castle,Governor,77866,93393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1984,Sussex,Governor,16215,23963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1988,Kent,Governor,9874,22563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1988,New Castle,Governor,49630,115866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1988,Sussex,Governor,10732,31304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1992,Kent,Governor,24734,13406,,,,,,412,,,,,,,602,,,,,,,,,,,,,,,,,,,,
