State,Year,Office,County,D#,R#,PI#,S#,MR#,Proh.#,SL#,Prog.#,U#,Am.#,I1#,I2#,I3#,Neb.#,Ref.#,NL#,Pet1.#,Pet.2#,G#,L#,NA#,W/I#,Pet.#,NPL#,Pet.#.1,W/I1#,W/I2#,W/I3#,W/I4#,Year/Office
Nebraska,1904,President,Cass,1466,2711,196,87,,154,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Cedar,1023,1797,148,28,,31,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Chase,111,329,74,0,,13,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Cherry,325,978,86,28,,44,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Cheyenne,267,681,30,20,,35,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Clay,701,2118,576,55,,111,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Colfax,768,1180,149,51,,77,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Cuming,1244,1490,61,8,,25,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Custer,509,2658,1058,116,,118,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Dakota,399,855,28,30,,34,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Dawes,247,818,81,62,,23,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Dawson,457,1712,437,48,,129,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Deuel,109,399,36,5,,4,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Dixon,571,1524,141,34,,82,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Dodge,1646,2789,87,82,,93,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Douglas,6831,15248,279,3736,,255,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Dundy,92,395,94,11,,10,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Fillmore,837,1980,579,51,,45,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Franklin,471,1269,362,19,,46,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Frontier,190,993,353,46,,29,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Furnas,393,1569,479,23,,78,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1904,President,Gage,1330,4304,196,92,,238,,,,,,,,,,,,,,,,,,,,,,,,
