State,Year,Office,County,D#,R#,S#,Comm.#,Liberty#,SW#,People's#,Proh.#,IND#,Labor#,Prog.#,Wor.#,FL#,U#,NRef#,Am.#,I1#,I2#,L#,Ref.#,NL#,G#,NA#,Delta#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I7#,W/I8#,W/I9#,New Ref.#,W/I#,Year / Office,C#,NPL#
Montana,1916,President,Sanders,1178,793,151,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Sheridan,3264,1724,371,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Silver Bow,13084,6757,1563,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Stillwater,1197,918,69,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Sweet Grass,839,890,44,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Teton,2273,1603,292,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Toole,1075,698,195,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Valley,2102,1111,222,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Wibaux,585,466,55,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1916,President,Yellowstone,4259,3281,251,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Beaverhead,833,2049,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Big Horn,475,1062,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Blaine,848,1720,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Broadwater,622,723,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Carbon,1107,2700,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Carter,342,782,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Cascade,3938,6808,,,,,,,,,,,826,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Chouteau,1436,2646,,,,,,,,,,,266,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Custer,1127,2347,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Daniels,289,811,,,,,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Dawson,875,1784,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Deer Lodge,1567,3130,,,,,,,,,,,522,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Fallon,381,1064,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Fergus,3371,5858,,,,,,,,,,,498,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Flathead,2241,3900,,,,,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Gallatin,2370,3238,,,,,,,,,,,312,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Garfield,484,1226,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Glacier,531,1297,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Golden Valley,381,1185,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Granite,439,949,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Hill,1388,2220,,,,,,,,,,,396,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Jefferson,688,969,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Lewis and Clark,2413,4348,,,,,,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Liberty,331,757,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Lincoln,683,1187,,,,,,,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Madison,537,1177,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,McCone,877,1672,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Meagher,314,744,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Mineral,362,347,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Missoula,3292,4374,,,,,,,,,,,648,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Musselshell,951,1910,,,,,,,,,,,364,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Park,1155,2537,,,,,,,,,,,328,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Phillips,648,1693,,,,,,,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Pondera,893,1654,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Powder River,330,955,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Powell,787,1345,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,
Montana,1920,President,Prairie,242,881,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,
