State,Year,Office,County,D#,R#,Prog.#,S#,AI#,L#,G#,I1#,I2#,I3#,I4#,I5#,NL#,Ref.#,W/I1#,W/2#,W/3#,D1#,D2#,D3#,D4#,D5#,I#,Ind.#,C#,O#,Others
Mississippi,1920,President,Lamar,672,192,,19,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Lauderdale,2539,228,,126,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Lawrence,526,131,,2,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Leake,1082,121,,25,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Lee,1652,302,,10,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Leflore,969,39,,4,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Lincoln,774,421,,13,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Lowndes,928,51,,9,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Madison,831,57,,8,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Marion,613,143,,16,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Marshall,823,30,,3,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Monroe,1881,139,,14,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Montgomery,846,57,,14,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Neshoba,1088,182,,55,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Newton,1208,108,,82,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Noxubee,701,24,,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Oktibbeha,778,70,,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Panola,843,80,,3,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Pearl River,464,53,,2,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Perry,271,69,,5,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Pike,1114,153,,45,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Pontotoc,992,439,,17,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Prentiss,992,496,,49,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Quitman,377,39,,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Rankin,905,43,,5,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Scott,1055,64,,22,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Sharkey,228,7,,0,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Simpson,902,109,,14,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Smith,968,265,,23,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Stone,299,16,,5,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Sunflower,1060,47,,9,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Tallahatchie,1092,69,,13,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Tate,876,117,,11,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Tippah,955,237,,22,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Tishomingo,841,387,,21,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Tunica,256,2,,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Union,1224,429,,12,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Walthall,464,139,,15,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Warren,1082,161,,15,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Washington,776,60,,1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Wayne,547,112,,48,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Webster,576,299,,46,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Wilkinson,416,15,,2,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Winston,932,113,,17,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Yalobusha,892,82,,10,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1920,President,Yazoo,948,46,,13,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Adams,836,304,16,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Alcorn,1828,223,2,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Amite,926,86,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Attala,1600,119,47,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Benton,541,35,3,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Bolivar,1212,266,96,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Calhoun,1129,69,199,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Carroll,895,70,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Chickasaw,1301,86,29,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Choctaw,1219,98,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Claiborne,605,14,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Clarke,1306,87,2,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Clay,1136,82,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Coahoma,1362,121,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Copiah,2087,43,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Covington,822,48,93,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,DeSoto,1065,17,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Forrest,1826,156,152,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Franklin,591,36,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,George,502,68,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Greene,456,31,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Grenada,933,17,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Hancock,467,192,50,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Harrison,3044,523,172,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Hinds,4083,245,170,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Holmes,1173,92,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Humphreys,628,33,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Issaquena,126,17,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Itawamba,888,62,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Jackson,1010,158,2,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Jasper,1257,61,1,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Jefferson,497,50,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Jefferson Davis,732,88,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Jones,2373,318,464,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Kemper,911,56,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Lafayette,1848,89,37,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Lamar,795,80,36,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Lauderdale,3204,320,589,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Lawrence,674,55,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Leake,1255,48,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Lee,2621,152,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Leflore,1144,135,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Lincoln,1278,154,70,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Lowndes,1655,62,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Madison,1598,109,0,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1924,President,Marion,1039,99,0,,,,,,,,,,,,,,,,,,,,,,,,
