State,Year,Office,County,D#,R#,Pop.#,PF#,Proh.#,BR#,Right.#,FB#,Labor#,Wor.#,Nat.#,Cit.#,Free.#,Comm.#,S#,Ind.#,Prog.#,SD#,SL#,FS#,S&L#,SW#,SE#,FL#,Chr.#,Liberty#,Justice#,U#,Am.#,I1#,I2#,I3#,Ref.#,NL#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,D1#,D2#,R1#,R2#,ULS#,WSAL#,CNPM#,CNP#,IP#,New#,Buffalo#,C#,W/I#,State#,OWL#,T#,I#,Year / Office,Prog.#.1,Christian#,CON#,NM#
Washington,,,Lewis,16418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14646,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Lincoln,2396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2674,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Mason,16174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9957,,,,,,,,,,,,,,,,,,,,105,,,,,2016 Attorney General,,,,
Washington,,,Okanogan,8799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6726,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Pacific,6188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3525,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Pend Oreille,3121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3109,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Pierce,208334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116240,,,,,,,,,,,,,,,,,,,,1666,,,,,2016 Attorney General,,,,
Washington,,,San Juan,7393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2614,,,,,,,,,,,,,,,,,,,,22,,,,,2016 Attorney General,,,,
Washington,,,Skagit,32906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18615,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
Washington,,,Skamania,2847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2188,,,,,,,,,,,,,,,,,,,,0,,,,,2016 Attorney General,,,,
