State,Year,Office,County,D#,R#,SPD#,WFG#,S#,Liberty#,Comm.#,Labor#,Proh.#,SD#,Pop.#,CN#,SM#,Prog.#,Indiv.#,Workers#,U#,Am.#,AI#,SW#,I1#,I2#,I3#,I4#,I5#,I6#,Ref.#,NL#,G#,L#,ER#,NA#,Cit.#,NP#,Delta#,W/I#,IR#,GFC#,CFB#,R1#,R2#,Year / Office,INOM1#,INOM2#
North Dakota,1908,President,Richland,1502,1864,,,14,,,,60,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Rolette,529,811,,,99,,,,24,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Sargent,576,1012,,,38,,,,20,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Stark,496,922,,,19,,,,7,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Steele,366,881,,,17,,,,18,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Stutsman,1344,1777,,,24,,,,45,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Towner,655,867,,,59,,,,18,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Traill,490,1207,,,33,,,,97,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Walsh,1641,1751,,,117,,,,30,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Ward,3163,5286,,,563,,,,193,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Wells,535,1243,,,22,,,,25,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1908,President,Williams,1034,1979,,,223,,,,37,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Adams,249,205,,,63,,,,27,,,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Barnes,940,570,,,93,,,,48,,,,,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Benson,594,515,,,98,,,,48,,,,,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Billings,547,671,,,161,,,,25,,,,,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Bottineau,825,700,,,401,,,,47,,,,,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Bowman,361,302,,,99,,,,15,,,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Burke,308,264,,,320,,,,21,,,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Burleigh,609,720,,,92,,,,16,,,,,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Cass,1814,1316,,,164,,,,56,,,,,1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Cavalier,932,561,,,69,,,,23,,,,,746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Dickey,723,494,,,69,,,,12,,,,,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Divide,375,404,,,160,,,,15,,,,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Dunn,246,285,,,47,,,,5,,,,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Eddy,376,199,,,34,,,,11,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Emmons,524,410,,,24,,,,15,,,,,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Foster,403,285,,,20,,,,11,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Grand Forks,1492,955,,,180,,,,45,,,,,1327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Griggs,434,144,,,65,,,,38,,,,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Hettinger,381,442,,,47,,,,14,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Kidder,218,322,,,65,,,,19,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,LaMoure,588,436,,,65,,,,15,,,,,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Logan,146,269,,,30,,,,4,,,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,McHenry,959,589,,,246,,,,29,,,,,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,McIntosh,125,202,,,25,,,,4,,,,,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,McKenzie,293,285,,,219,,,,10,,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,McLean,583,505,,,325,,,,31,,,,,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Mercer,142,147,,,53,,,,6,,,,,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Morton,1017,1011,,,284,,,,44,,,,,1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Mountrail,307,407,,,372,,,,18,,,,,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Nelson,526,448,,,178,,,,38,,,,,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Oliver,139,131,,,116,,,,14,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Pembina,975,615,,,35,,,,53,,,,,807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Pierce,453,264,,,159,,,,27,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Ramsey,917,739,,,150,,,,18,,,,,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Ransom,490,495,,,30,,,,31,,,,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Renville,420,224,,,272,,,,17,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Richland,1380,1034,,,34,,,,46,,,,,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Rolette,396,339,,,184,,,,27,,,,,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Sargent,641,605,,,93,,,,19,,,,,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Sheridan,170,306,,,26,,,,7,,,,,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Stark,678,387,,,58,,,,8,,,,,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Steele,253,237,,,55,,,,16,,,,,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Stutsman,1100,757,,,84,,,,28,,,,,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Towner,532,352,,,112,,,,21,,,,,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Traill,507,365,,,68,,,,39,,,,,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Walsh,1206,586,,,185,,,,37,,,,,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Ward,1071,686,,,613,,,,67,,,,,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Wells,494,356,,,36,,,,13,,,,,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1912,President,Williams,696,549,,,588,,,,45,,,,,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Adams,532,469,,,63,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Barnes,1678,1467,,,75,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Benson,922,1210,,,109,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Billings,276,306,,,36,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Bottineau,1471,1294,,,329,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Bowman,685,374,,,88,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Burke,922,518,,,197,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Burleigh,1267,1182,,,129,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Cass,3303,3093,,,157,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Cavalier,1149,1502,,,68,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Dickey,920,1037,,,99,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Divide,950,707,,,126,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Dunn,1028,566,,,46,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Eddy,650,505,,,89,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Emmons,609,1090,,,25,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Foster,662,549,,,14,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Golden Valley,697,499,,,63,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Grand Forks,2814,2159,,,125,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Griggs,668,521,,,59,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Hettinger,661,856,,,67,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Kidder,650,604,,,134,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,LaMoure,990,1045,,,141,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Logan,260,567,,,51,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,McHenry,1316,692,,,185,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,McIntosh,270,950,,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,McKenzie,1456,1394,,,200,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,McLean,1210,1054,,,247,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Mercer,353,730,,,52,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Morton,1835,2785,,,299,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1916,President,Mountrail,1262,740,,,231,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
