State,Year,Office,County,D#,R#,L#,C#,G#,NL#,Ref.#,S#,I1#,I2#,I3#,I4#,Pop.#,Proh.#,Prog.#,CN#,Cit.#,PBP#,In. Al.#,USC#,NA#,Ap.#,AF#,JIA#,TBA,LB#,WW#,W/I1#,W/I2#,I#,W/I#
Arkansas,1908,President,Jackson,1055,864,,,,,,101,2,,,,9,7,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Jefferson,1585,1386,,,,,,125,19,,,,5,5,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Johnson,1164,544,,,,,,140,1,,,,8,10,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Lafayette,739,552,,,,,,4,0,,,,8,8,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Lawrence,1188,583,,,,,,59,0,,,,2,2,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Lee,1182,354,,,,,,29,4,,,,0,0,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Lincoln,389,159,,,,,,16,1,,,,7,9,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Little River,660,435,,,,,,105,6,,,,16,15,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Logan,1716,1151,,,,,,88,3,,,,10,10,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Lonoke,1385,592,,,,,,30,5,,,,23,22,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Madison,1441,1541,,,,,,69,2,,,,6,6,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Marion,705,370,,,,,,81,0,,,,2,1,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Miller,1035,722,,,,,,36,4,,,,23,22,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Mississippi,930,1167,,,,,,155,4,,,,3,4,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Monroe,912,1022,,,,,,41,1,,,,4,2,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Montgomery,553,522,,,,,,87,1,,,,12,12,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Nevada,890,784,,,,,,47,4,,,,105,134,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Newton,377,582,,,,,,36,2,,,,1,1,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Ouachita,1166,1505,,,,,,14,2,,,,7,5,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Perry,608,445,,,,,,65,1,,,,1,3,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Phillips,1194,393,,,,,,3,3,,,,0,1,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Pike,568,601,,,,,,21,1,,,,6,6,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Poinsett,843,462,,,,,,2,8,,,,0,0,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Polk,824,628,,,,,,165,4,,,,20,17,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Pope,1664,811,,,,,,78,1,,,,8,8,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Prairie,1103,812,,,,,,41,0,,,,9,9,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Pulaski,3893,3533,,,,,,228,25,,,,24,32,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Randolph,1348,517,,,,,,28,4,,,,9,10,,,,,,,,,,,,,,,,,
Arkansas,1908,President,St. Francis,619,755,,,,,,80,0,,,,21,2,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Saline,899,369,,,,,,53,2,,,,10,10,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Scott,893,481,,,,,,175,7,,,,21,20,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Searcy,597,636,,,,,,141,9,,,,2,7,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Sebastian,3035,2050,,,,,,620,5,,,,14,13,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Sevier,1073,526,,,,,,199,7,,,,26,27,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Sharp,970,317,,,,,,78,0,,,,5,5,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Stone,496,267,,,,,,34,2,,,,1,1,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Union,1407,535,,,,,,11,2,,,,5,5,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Van Buren,797,667,,,,,,39,8,,,,31,32,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Washington,2748,1704,,,,,,185,6,,,,33,33,,,,,,,,,,,,,,,,,
Arkansas,1908,President,White,1788,887,,,,,,176,9,,,,92,86,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Woodruff,1046,752,,,,,,51,3,,,,5,5,,,,,,,,,,,,,,,,,
Arkansas,1908,President,Yell,1743,1040,,,,,,194,2,,,,9,9,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Arkansas,869,249,,,305,,,46,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Ashley,1029,439,,,346,,,82,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Baxter,536,142,,,176,,,142,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Benton,2353,541,,,660,,,296,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Boone,965,280,,,279,,,81,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Bradley,772,137,,,147,,,101,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Calhoun,438,72,,,177,,,109,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Carroll,919,464,,,358,,,122,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Chicot,419,89,,,308,,,22,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Clark,1051,376,,,263,,,36,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Clay,1299,622,,,358,,,218,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Cleburne,517,138,,,118,,,127,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Cleveland,685,275,,,98,,,33,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Columbia,1101,340,,,167,,,42,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Conway,1435,527,,,364,,,53,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Craighead,1259,269,,,229,,,297,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Crawford,969,407,,,423,,,81,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Crittenden,423,89,,,285,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Cross,491,293,,,234,,,79,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Dallas,654,228,,,406,,,28,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Desha,314,52,,,161,,,13,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Drew,882,424,,,254,,,43,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Faulkner,1316,402,,,161,,,111,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Franklin,1113,258,,,194,,,184,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Fulton,590,453,,,235,,,45,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Garland,1046,300,,,533,,,148,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Grant,440,110,,,47,,,25,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Greene,1251,286,,,259,,,239,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Hempstead,1247,836,,,468,,,92,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Hot Spring,668,248,,,247,,,42,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Howard,760,321,,,187,,,66,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Independence,1225,412,,,395,,,168,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Izard,746,215,,,137,,,52,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Jackson,837,543,,,159,,,161,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Jefferson,1659,579,,,753,,,146,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Johnson,927,189,,,237,,,151,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Lafayette,498,208,,,155,,,10,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Lawrence,929,218,,,167,,,125,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Lee,968,665,,,194,,,15,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Lincoln,390,292,,,152,,,86,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Little River,615,232,,,87,,,101,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Logan,1319,333,,,765,,,149,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Lonoke,1129,254,,,425,,,71,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Madison,932,786,,,231,,,71,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Marion,537,160,,,145,,,157,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Miller,846,331,,,195,,,106,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Mississippi,767,263,,,183,,,87,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Monroe,537,400,,,201,,,76,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Montgomery,471,221,,,202,,,137,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Nevada,607,322,,,268,,,93,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Newton,290,285,,,247,,,74,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Ouachita,913,793,,,131,,,38,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Perry,522,163,,,216,,,64,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Phillips,926,198,,,189,,,2,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Pike,603,331,,,158,,,32,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Poinsett,593,205,,,157,,,126,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Polk,694,162,,,409,,,197,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Pope,1517,334,,,556,,,134,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Prairie,647,376,,,103,,,60,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Pulaski,3369,1044,,,1547,,,268,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Randolph,997,264,,,178,,,130,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,St. Francis,563,296,,,90,,,65,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Saline,814,164,,,140,,,65,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Scott,640,206,,,225,,,170,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Searcy,438,389,,,180,,,111,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Sebastian,2396,514,,,748,,,445,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Sevier,789,174,,,166,,,183,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Sharp,681,114,,,194,,,71,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Stone,337,113,,,92,,,70,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Union,1090,152,,,135,,,106,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Van Buren,674,254,,,266,,,80,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Washington,1881,565,,,532,,,159,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,White,1448,380,,,481,,,208,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Woodruff,903,473,,,258,,,65,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1912,President,Yell,1401,436,,,438,,,263,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Arkansas,1119,613,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Ashley,1519,463,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Baxter,914,318,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Benton,3106,1293,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Boone,1413,598,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Bradley,1159,314,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Calhoun,933,275,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Carroll,1512,1034,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Chicot,570,474,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Clark,1975,678,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Clay,1950,973,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Cleburne,865,271,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Cleveland,1128,230,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Columbia,2074,721,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Conway,1401,1032,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Craighead,1957,543,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Crawford,1622,1195,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Crittenden,563,91,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Cross,927,252,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Dallas,1150,527,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Desha,960,369,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Drew,1627,838,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Faulkner,2031,817,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Franklin,1679,582,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Fulton,1096,392,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Garland,1678,1057,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Grant,957,190,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
Arkansas,1916,President,Greene,2292,533,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,
