State,Year,Office,County,D1#,R#,SD#,D2#,AS#,Nat.#,Wor.#,AF#,Lib.#,TC#,NP#,HR#,Cit.#,GB#,FL#,Proh.#,Labor#,UL#,Pop.#,SW#,S#,Comm.#,SL#,SE#,CW#,ST#,Prog.#,U#,AI#,Ind.#,Tisch#,I1#,I2#,I3#,I4#,Ref.#,NL#,G#,L#,WL#,UC#,W/I#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,D#,FN#,WW#,I#,WAC#,W/I1#,IND#,Am.#,CON#,SD#.1,PU#,Tisch #,W/I7#,W/I8#,W/I9#,SqD#,CD#,T#
Michigan,1938,LG,Mackinac,,2111,,,,,,,,,,,,,,,,,,,1,,2,,1,,,,,,,,,,,,,,,,,0,,,,,,1908,,,,,,,,,,1,,,,,1,7,1
Michigan,1938,LG,Macomb,,14670,,,,,,,,,,,,,,,,,,,54,,14,,1,,,,,,,,,,,,,,,,,0,,,,,,13559,,,,,,,,,,6,,,,,6,22,4
Michigan,1938,LG,Manistee,,3747,,,,,,,,,,,,,,,,,,,13,,0,,2,,,,,,,,,,,,,,,,,0,,,,,,3451,,,,,,,,,,1,,,,,0,4,1
Michigan,1938,LG,Marquette,,8491,,,,,,,,,,,,,,,,,,,13,,5,,0,,,,,,,,,,,,,,,,,0,,,,,,9676,,,,,,,,,,2,,,,,0,35,1
Michigan,1938,LG,Mason,,3655,,,,,,,,,,,,,,,,,,,20,,0,,0,,,,,,,,,,,,,,,,,0,,,,,,2912,,,,,,,,,,2,,,,,1,6,1
Michigan,1938,LG,Mecosta,,3366,,,,,,,,,,,,,,,,,,,3,,1,,0,,,,,,,,,,,,,,,,,0,,,,,,1628,,,,,,,,,,1,,,,,0,5,2
Michigan,1938,LG,Menominee,,4371,,,,,,,,,,,,,,,,,,,12,,3,,3,,,,,,,,,,,,,,,,,0,,,,,,4175,,,,,,,,,,1,,,,,0,7,0
Michigan,1938,LG,Midland,,4899,,,,,,,,,,,,,,,,,,,9,,2,,0,,,,,,,,,,,,,,,,,0,,,,,,2055,,,,,,,,,,0,,,,,0,13,0
Michigan,1938,LG,Missaukee,,1954,,,,,,,,,,,,,,,,,,,4,,0,,0,,,,,,,,,,,,,,,,,0,,,,,,932,,,,,,,,,,0,,,,,0,6,0
Michigan,1938,LG,Monroe,,11041,,,,,,,,,,,,,,,,,,,6,,3,,15,,,,,,,,,,,,,,,,,0,,,,,,7676,,,,,,,,,,2,,,,,0,21,6
Michigan,1938,LG,Montcalm,,5621,,,,,,,,,,,,,,,,,,,26,,0,,2,,,,,,,,,,,,,,,,,0,,,,,,2644,,,,,,,,,,0,,,,,3,20,1
Michigan,1938,LG,Montmorency,,1082,,,,,,,,,,,,,,,,,,,6,,3,,0,,,,,,,,,,,,,,,,,0,,,,,,676,,,,,,,,,,0,,,,,2,1,1
