State,Year,Office,County,D#,R#,Prog.#,S#,SD#,Proh.#,SR#,Am.#,IND#,I1#,I2#,Ref.#,NL#,L#,G#,NA#,UC#,W/I#,D1#,D2#,I#,W/I1#,W/I2#,Year / Office,C#,All.#
South Carolina,1920,President,Barnwell,721,25,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Beaufort,265,149,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Berkeley,548,24,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Calhoun,631,41,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Charleston,2929,373,,13,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Cherokee,1771,48,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Chester,1237,0,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Chesterfield,2066,14,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Clarendon,902,0,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Colleton,990,15,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Darlington,1262,18,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Dillon,1003,5,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Dorchester,874,60,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Edgefield,976,0,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Fairfield,737,15,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Florence,1763,79,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Georgetown,245,38,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Greenville,4409,144,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Greenwood,1568,15,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Hampton,623,0,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Horry,1709,49,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Jasper,219,0,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Kershaw,1156,42,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Lancaster,1633,10,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Laurens,2263,35,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Lee,734,18,,2,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Lexington,1813,59,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Marion,808,1,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Marlboro,960,5,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,McCormick,557,0,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Newberry,2015,33,,10,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Oconee,1249,70,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Orangeburg,2526,304,,1,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Pickens,955,63,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Richland,2434,295,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Saluda,1111,3,,2,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Spartanburg,4584,182,,0,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1920,President,Sumter,1150,194,,0,,,,,,,,,,,,,,,,,,,,,,
