State,Year,Office,County,D#,R#,GR#,Justice#,C#,FLR#,IND#,I#,New#,PF#,LU#,T#,S&L,SW#,Labor#,S#,Comm.#,SL#,Proh.#,Pop.#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,GD#,Prog.#,GWP#,Ref.#,NL#,G#,SD#,NA#,Cit.#,L#,P&P,KISS#,ABC#,I1#,I2#,I3#,I4#,I5#,I6#,I7#,GR#.1,M#,W/I#,ER#,CRE#,RJF#,PoV#,Loc.#,Year / Office,Town,S&L#,P&P#
Vermont,1916,President,Orange,1379,2151,,,,,,,,,,,,,,51,,,46,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1916,President,Orleans,1047,2758,,,,,,,,,,,,,,7,,,41,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1916,President,Rutland,2785,5926,,,,,,,,,,,,,,84,,,134,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1916,President,Washington,2732,4216,,,,,,,,,,,,,,335,,,98,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1916,President,Windham,1698,3375,,,,,,,,,,,,,,42,,,37,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1916,President,Windsor,2216,4236,,,,,,,,,,,,,,70,,,38,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1920,President,Addison,503,4515,,,,,,,,,,,,,,,,,59,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1920,President,Bennington,1615,4172,,,,,,,,,,,,,,,,,40,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1920,President,Caledonia,1694,5537,,,,,,,,,,,,,,,,,69,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1920,President,Chittenden,3564,7215,,,,,,,,,,,,,,,,,86,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1920,President,Essex,552,1243,,,,,,,,,,,,,,,,,9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1920,President,Franklin,2342,4869,,,,,,,,,,,,,,,,,87,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1920,President,Grand Isle,354,928,,,,,,,,,,,,,,,,,14,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1920,President,Lamoille,458,2311,,,,,,,,,,,,,,,,,47,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1920,President,Orange,938,3713,,,,,,,,,,,,,,,,,53,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1920,President,Orleans,738,4400,,,,,,,,,,,,,,,,,39,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1920,President,Rutland,3192,8940,,,,,,,,,,,,,,,,,94,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1920,President,Washington,1953,6418,,,,,,,,,,,,,,,,,87,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1920,President,Windham,1302,5551,,,,,,,,,,,,,,,,,55,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1920,President,Windsor,1714,8400,,,,,,,,,,,,,,,,,35,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1924,President,Addison,557,4927,,,,,,,,,,,,,,,,0,30,,0,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1924,President,Bennington,1466,5341,,,,,,,,,,,,,,,,0,21,,0,,,,,,,,,,,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1924,President,Caledonia,929,6205,,,,,,,,,,,,,,,,0,20,,0,,,,,,,,,,,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1924,President,Chittenden,2658,8008,,,,,,,,,,,,,,,,0,40,,0,,,,,,,,,,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1924,President,Essex,576,1391,,,,,,,,,,,,,,,,0,7,,0,,,,,,,,,,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1924,President,Franklin,1649,4594,,,,,,,,,,,,,,,,0,23,,0,,,,,,,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1924,President,Grand Isle,343,861,,,,,,,,,,,,,,,,0,10,,0,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1924,President,Lamoille,305,2480,,,,,,,,,,,,,,,,0,20,,0,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1924,President,Orange,724,4657,,,,,,,,,,,,,,,,0,7,,0,,,,,,,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1924,President,Orleans,619,5006,,,,,,,,,,,,,,,,0,32,,2,,,,,,,,,,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1924,President,Rutland,2477,10642,,,,,,,,,,,,,,,,0,58,,0,,,,,,,,,,,1143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1924,President,Washington,1715,8525,,,,,,,,,,,,,,,,0,27,,0,,,,,,,,,,,1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1924,President,Windham,1091,7638,,,,,,,,,,,,,,,,0,12,,0,,,,,,,,,,,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1924,President,Windsor,1015,10223,,,,,,,,,,,,,,,,3,19,,0,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1928,President,Addison,2003,5247,,,,,,,,,,,,,,,,,27,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1928,President,Bennington,3498,6114,,,,,,,,,,,,,,,,,15,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1928,President,Caledonia,1832,6616,,,,,,,,,,,,,,,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1928,President,Chittenden,9052,8156,,,,,,,,,,,,,,,,,26,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1928,President,Essex,805,1703,,,,,,,,,,,,,,,,,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1928,President,Franklin,5477,6031,,,,,,,,,,,,,,,,,40,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1928,President,Grand Isle,801,830,,,,,,,,,,,,,,,,,11,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1928,President,Lamoille,576,3262,,,,,,,,,,,,,,,,,16,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1928,President,Orange,914,5223,,,,,,,,,,,,,,,,,30,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1928,President,Orleans,1320,5561,,,,,,,,,,,,,,,,,14,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1928,President,Rutland,8609,12621,,,,,,,,,,,,,,,,,31,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1928,President,Washington,4408,9891,,,,,,,,,,,,,,,,,53,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1928,President,Windham,2398,8410,,,,,,,,,,,,,,,,,16,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
