County,Town,1876PVI,1880PVI,1884PVI,1888PVI,1892PVI,1896PVI,1900PVI,1904PVI,1908PVI,1912PVI,1916PVI,1920PVI,1924PVI,1928PVI,1932PVI,1936PVI,1940PVI,1944PVI,1948PVI,1952PVI,1956PVI,1960PVI,1964PVI,1968PVI,1972PVI,1976PVI,1980PVI,1984PVI,1988PVI,1992PVI,1996PVI,2000PVI,2004PVI,2008PVI,2012PVI,2016PVI
Saint Clair,,,,,,,,,,,,D+06.44,D+04.48,D+09.67,D+02.47,R+03.25,D+00.31,D+03.08,D+07.36,D+09.99,D+13.32,D+11.19,D+05.73,R+16.32,R+25.73,R+17.49,R+08.73,R+00.90,R+08.75,R+15.08,R+18.08,R+20.59,R+22.44,R+26.36,R+32.78,R+32.84,R+28.61
Sumter,,,,,,,,,,,,D+40.86,D+54.92,D+62.25,D+52.47,D+40.92,D+37.35,D+38.82,D+41.68,D+42.24,D+27.21,D+16.07,D+12.86,R+18.31,R+01.37,D+25.60,D+11.21,D+17.96,D+24.59,D+21.91,D+19.82,D+19.80,D+21.57,D+22.34,D+21.73,D+23.49,D+24.64
Talladega,,,,,,,,,,,,D+26.85,D+29.69,D+36.06,D+24.38,D+17.75,D+25.66,D+29.57,D+30.75,D+29.92,D+22.64,D+13.55,D+09.01,R+13.64,R+10.02,D+00.05,R+00.35,D+08.56,D+01.38,R+05.15,R+07.39,R+06.84,R+05.68,R+07.91,R+11.75,R+11.53,R+12.06
Tallapoosa,,,,,,,,,,,,D+36.30,D+47.60,D+59.19,D+41.74,D+27.63,D+35.37,D+37.84,D+42.10,D+41.80,D+38.87,D+33.57,D+26.19,R+07.91,R+17.30,R+07.74,R+05.09,D+09.22,D+01.21,R+09.41,R+11.63,R+11.34,R+11.01,R+14.91,R+20.15,R+20.14,R+20.23
Tuscaloosa,,,,,,,,,,,,D+35.46,D+45.77,D+53.57,D+42.07,D+31.93,D+33.90,D+35.49,D+37.16,D+35.50,D+28.63,D+20.89,D+14.69,R+10.25,R+10.18,R+00.23,R+02.66,D+04.65,D+00.03,R+05.33,R+06.79,R+08.43,R+08.90,R+09.45,R+11.18,R+11.26,R+10.96
Walker,,,,,,,,,,,,D+04.76,D+09.42,D+19.04,D+17.79,D+14.18,D+15.18,D+17.16,D+16.66,D+14.79,D+18.88,D+19.58,D+13.55,R+05.04,R+13.24,R+12.30,R+00.10,D+16.87,D+10.21,D+04.49,D+03.97,D+02.68,R+00.97,R+10.38,R+22.05,R+28.02,R+32.10
Washington,,,,,,,,,,,,D+37.33,D+46.67,D+53.97,D+36.99,D+26.02,D+34.29,D+37.25,D+39.91,D+42.09,D+38.40,D+28.97,D+23.63,R+05.36,D+00.37,D+09.54,R+01.36,D+09.70,D+04.55,D+00.85,D+01.69,D+02.34,R+01.16,R+07.79,R+14.48,R+18.21,R+20.42
Wilcox,,,,,,,,,,,,D+41.55,D+55.97,D+64.14,D+51.01,D+38.31,D+37.96,D+40.23,D+43.76,D+45.13,D+29.79,D+15.90,D+16.21,R+19.77,R+07.69,D+27.45,D+16.53,D+19.93,D+22.00,D+20.04,D+16.86,D+14.27,D+15.94,D+18.05,D+18.20,D+19.94,D+21.32
Winston,,,,,,,,,,,,R+06.42,R+08.56,R+01.33,R+07.37,R+13.16,R+12.26,R+12.56,R+13.15,R+16.83,R+10.43,R+05.82,R+12.51,R+24.83,R+35.76,R+31.82,R+11.51,R+01.35,R+08.74,R+13.54,R+14.66,R+15.17,R+17.84,R+23.95,R+31.53,R+37.22,R+40.52
*Alaska,,,,,,,,,,,,,,,,,,,,,,,,R+02.79,R+02.83,R+00.99,R+06.91,R+12.47,R+10.94,R+09.07,R+09.15,R+12.60,R+16.69,R+15.09,R+13.37,R+12.02,R+09.39
