State,Year,Office,County,D#,R#,Pop.#,Prog.#,Proh.#,SD#,SL#,UR#,S#,Labor#,Comm.#,Wor.#,Am.#,L#,IND#,I#,Ref.#,NL#,G#,3rdP#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#,W/I12#,W/I13#,W/I14#,W/I15#,AI#,I1#,I2#,U#
Maryland,1924,President,Worcester,5964,3744,,66,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Allegany,9026,19443,,,,,,,144,62,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Anne Arundel,6259,10145,,,,,,,29,43,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Baltimore,15632,23889,,,,,,,81,77,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Baltimore City,126106,135182,,,,,,,1093,356,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Calvert,1144,2085,,,,,,,22,7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Caroline,2030,3270,,,,,,,6,5,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Carroll,3731,8644,,,,,,,21,18,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Cecil,2201,5706,,,,,,,32,17,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Charles,1860,2522,,,,,,,4,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Dorchester,2180,6333,,,,,,,12,7,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Frederick,7406,12569,,,,,,,45,36,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Garrett,1168,4371,,,,,,,21,8,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Harford,3506,6479,,,,,,,16,25,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Howard,3088,3296,,,,,,,4,16,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Kent,2450,2777,,,,,,,8,14,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Montgomery,6739,9318,,,,,,,34,25,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Prince George's,6658,9782,,,,,,,43,23,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Queen Anne's,2700,2666,,,,,,,1,21,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Somerset,2277,5071,,,,,,,9,65,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Saint Mary's,3006,1609,,,,,,,16,26,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Talbot,2432,3990,,,,,,,2,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Washington,5816,12404,,,,,,,46,28,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Wicomico,4095,5923,,,,,,,6,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1928,President,Worcester,2116,4005,,,,,,,6,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Allegany,12033,12911,,,,,,,126,96,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Anne Arundel,9761,5778,,,,,,,114,81,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Baltimore,24626,13938,,,,,,,131,105,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Baltimore City,160309,78954,,,,,,,1078,420,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Calvert,1696,1838,,,,,,,34,23,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Caroline,3651,1998,,,,,,,8,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Carroll,6482,5732,,,,,,,24,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Cecil,4282,3569,,,,,,,36,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Charles,2473,1851,,,,,,,32,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Dorchester,4547,3466,,,,,,,17,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Frederick,10686,7144,,,,,,,42,25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Garrett,2232,3048,,,,,,,17,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Harford,6073,3954,,,,,,,38,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Howard,4161,1970,,,,,,,23,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Kent,2370,1468,,,,,,,8,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Montgomery,9882,5698,,,,,,,51,33,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Prince George's,11580,6696,,,,,,,86,31,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1932,President,Queen Anne's,3683,1583,,,,,,,14,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
