State,Year,Office,County,D#,R#,Prog.#,Cit.#,SM#,PC#,CN#,New#,S#,SL#,Liberty#,Comm.#,Proh.#,FL#,U#,Workers#,AI#,SW#,I#,Ref.#,NL#,G#,L#,S&L,Delta#,NA#,W/I#,LRU#,PCP#,INM#,W/I1#,W/I2#,Year / Office,C#
New Mexico,1928,President,Harding,726,916,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Hidalgo,509,561,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Lea,474,537,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Lincoln,821,1489,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Luna,647,860,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,McKinley,1247,2075,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Mora,1799,1998,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Otero,1148,1250,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Quay,1594,1616,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Rio Arriba,2444,4109,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Roosevelt,1098,1157,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,San Juan,1159,1700,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,San Miguel,724,1436,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Sandoval,3560,5184,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Santa Fe,3051,4630,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Sierra,657,766,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Socorro,1564,1940,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Taos,1842,2441,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Torrance,1070,1958,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Union,1306,2081,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
New Mexico,1928,President,Valencia,881,3500,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Bernalillo,10722,7309,,,,,,,181,,6,25,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Catron,972,610,,,,,,,20,,1,5,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Chaves,4257,1830,,,,,,,51,,159,25,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Colfax,4282,3214,,,,,,,47,,3,1,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Curry,3738,932,,,,,,,401,,1,7,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,De Baca,1023,264,,,,,,,13,,2,3,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Dona Ana,5133,2354,,,,,,,104,,4,0,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Eddy,3565,818,,,,,,,69,,6,1,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Grant,3344,1381,,,,,,,45,,0,25,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Guadalupe,1909,1621,,,,,,,12,,0,0,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Harding,1478,779,,,,,,,36,,0,0,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Hidalgo,1131,299,,,,,,,28,,2,0,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Lea,2371,271,,,,,,,87,,27,0,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Lincoln,2225,1172,,,,,,,15,,5,1,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Luna,1605,641,,,,,,,36,,0,4,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,McKinley,2096,1373,,,,,,,14,,0,6,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Mora,2962,1444,,,,,,,0,,0,1,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Otero,2091,969,,,,,,,67,,0,0,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Quay,3058,852,,,,,,,164,,1,2,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Rio Arriba,5337,2880,,,,,,,5,,0,7,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Roosevelt,2826,475,,,,,,,93,,5,5,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,San Juan,1808,1562,,,,,,,7,,0,1,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,San Miguel,1506,925,,,,,,,50,,150,4,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Sandoval,5076,5364,,,,,,,14,,0,6,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Santa Fe,5739,3625,,,,,,,26,,0,0,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Sierra,1515,667,,,,,,,27,,1,0,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Socorro,2495,1931,,,,,,,11,,0,1,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Taos,3277,2416,,,,,,,29,,0,1,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Torrance,2202,1803,,,,,,,63,,2,1,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Union,3117,1173,,,,,,,50,,11,2,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1932,President,Valencia,2229,3263,,,,,,,11,,3,1,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Bernalillo,15305,7107,,,,,,,49,,,6,9,,106,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Catron,1456,798,,,,,,,6,,,3,0,,9,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Chaves,4394,2505,,,,,,,19,,,2,13,,84,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Colfax,4661,2745,,,,,,,10,,,1,2,,32,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Curry,4689,1023,,,,,,,39,,,8,1,,37,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,De Baca,1010,444,,,,,,,5,,,0,0,,1,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Dona Ana,5544,2494,,,,,,,17,,,2,4,,41,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Eddy,4349,1027,,,,,,,18,,,1,1,,29,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Grant,3215,1469,,,,,,,10,,,1,3,,38,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Guadalupe,2187,1775,,,,,,,1,,,0,0,,3,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Harding,1276,888,,,,,,,5,,,0,0,,0,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Hidalgo,1115,326,,,,,,,5,,,0,0,,13,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Lea,3905,549,,,,,,,14,,,3,2,,18,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Lincoln,2021,1579,,,,,,,10,,,0,1,,30,,,,,,,,,,,,,,,,,,,
New Mexico,1936,President,Luna,1500,806,,,,,,,6,,,2,1,,52,,,,,,,,,,,,,,,,,,,
