State,Year,Office,County,D#,R#,Prog.#,Pop.#,SW#,Comm.#,S#,Wor.#,Proh.#,Am.#,I#,G#,L#,Ref.#,NL#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,C#,ATP#,Year / Office
West Virginia,1924,President,Mercer,10058,9159,2122,,,,,,,31,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Mineral,2860,3551,737,,,,,,,9,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Mingo,5313,4656,1077,,,,,,,24,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Monongalia,4977,6994,2106,,,,,,,33,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Monroe,2686,2713,31,,,,,,,0,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Morgan,919,1883,174,,,,,,,8,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Nicholas,3956,3347,122,,,,,,,9,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Ohio,8753,14402,3416,,,,,,,55,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Pendleton,2037,1462,9,,,,,,,0,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Pleasants,1675,1619,26,,,,,,,3,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Pocahontas,2777,2782,92,,,,,,,10,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Preston,2445,6396,502,,,,,,,32,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Putnam,2946,2862,313,,,,,,,2,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Raleigh,7776,8643,1058,,,,,,,9,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Randolph,5314,3526,779,,,,,,,18,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Ritchie,2403,4152,58,,,,,,,19,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Roane,3504,4097,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Summers,3998,3124,393,,,,,,,9,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Taylor,2499,3683,686,,,,,,,22,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Tucker,2127,2277,560,,,,,,,28,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Tyler,2137,3425,96,,,,,,,14,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Upshur,1952,4930,133,,,,,,,4,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Wayne,5870,3999,357,,,,,,,21,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Webster,2523,1617,36,,,,,,,4,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Wetzel,4998,3458,240,,,,,,,36,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Wirt,1587,1491,19,,,,,,,7,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Wood,9378,10086,539,,,,,,,52,,,,,,,,,,,,,,,,,,,
West Virginia,1924,President,Wyoming,2358,3327,393,,,,,,,5,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Barbour,3491,4023,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Berkeley,3540,8477,,,,,16,3,23,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Boone,4805,4000,,,,,16,5,9,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Braxton,4582,4028,,,,,6,3,32,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Brooke,2419,5277,,,,,16,16,16,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Cabell,15340,21091,,,,,47,21,84,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Calhoun,2179,1745,,,,,7,0,11,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Clay,1929,2551,,,,,2,7,5,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Doddridge,1202,2919,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Fayette,12351,12961,,,,,38,6,60,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Gilmer,2313,1705,,,,,2,7,17,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Grant,542,2648,,,,,2,1,4,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Greenbrier,6141,6423,,,,,18,10,32,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Hampshire,2132,1779,,,,,0,0,15,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Hancock,1884,5461,,,,,12,0,17,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Hardy,1965,1611,,,,,3,0,3,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Harrison,12483,17502,,,,,98,16,232,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Jackson,2452,4150,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Jefferson,3312,3050,,,,,6,1,15,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Kanawha,25563,35788,,,,,70,34,80,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Lewis,3825,5290,,,,,19,6,81,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Lincoln,3416,3823,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Logan,9944,11404,,,,,7,4,30,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Marion,10133,16088,,,,,11,10,10,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Marshall,4785,9204,,,,,315,21,106,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Mason,2814,5125,,,,,39,33,51,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,McDowell,8294,14810,,,,,21,10,22,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Mercer,10273,12887,,,,,12,2,36,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Mineral,2310,5860,,,,,25,6,11,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Mingo,6801,6904,,,,,7,3,17,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Monongalia,6182,11364,,,,,91,8,89,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Monroe,2346,3025,,,,,2,1,14,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Morgan,758,2539,,,,,6,1,4,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Nicholas,3495,3917,,,,,8,9,52,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Ohio,13132,20064,,,,,122,56,41,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Pendleton,1921,1710,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Pleasants,1210,1821,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Pocahontas,2487,3141,,,,,4,1,21,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Preston,2355,7783,,,,,22,11,45,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Putnam,2406,3346,,,,,15,5,21,,,,,,,,,,,,,,,,,,,,
West Virginia,1928,President,Raleigh,10366,11581,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
