State,Year,Office,County,D#,R#,L#,G#,NL#,Ref.#,Cit.#,Work.#,NA#,C#,I1#,I2#,I3#,I4#,PF#,SW#,S#,New#,SL#,Union,Comm.#,Proh.#,Prog.#,Pop.#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,W/I10#,W/I11#,W/I12#,W/I13#,W/I14#,W/I15#,W/I16#,W/I17#,PoP,AE#,SA#
Arizona,1932,President,Navajo,2602,1248,,,,,,,,,,,,,,,294,,,,2,,,,0,,,,,,,,,,,,,,,,,,,
Arizona,1932,President,Pima,11061,6152,,,,,,,,,,,,,,,464,,,,50,,,,0,,,,,,,,,,,,,,,,,,,
Arizona,1932,President,Pinal,3137,1000,,,,,,,,,,,,,,,40,,,,7,,,,0,,,,,,,,,,,,,,,,,,,
Arizona,1932,President,Santa Cruz,1606,625,,,,,,,,,,,,,,,26,,,,3,,,,0,,,,,,,,,,,,,,,,,,,
Arizona,1932,President,Yavapai,6326,2626,,,,,,,,,,,,,,,170,,,,19,,,,0,,,,,,,,,,,,,,,,,,,
Arizona,1932,President,Yuma,3463,1162,,,,,,,,,,,,,,,186,,,,19,,,,0,,,,,,,,,,,,,,,,,,,
Arizona,1936,President,Apache,1674,638,,,,,,,,,,,,,,,4,,,7,,4,,,,,,,,,,,,,,,,,,,,,,
Arizona,1936,President,Cochise,8130,2092,,,,,,,,,,,,,,,42,,,232,,3,,,,,,,,,,,,,,,,,,,,,,
Arizona,1936,President,Coconino,2578,1140,,,,,,,,,,,,,,,10,,,89,,12,,,,,,,,,,,,,,,,,,,,,,
Arizona,1936,President,Gila,4859,1526,,,,,,,,,,,,,,,10,,,164,,9,,,,,,,,,,,,,,,,,,,,,,
Arizona,1936,President,Graham,3541,680,,,,,,,,,,,,,,,9,,,78,,67,,,,,,,,,,,,,,,,,,,,,,
Arizona,1936,President,Greenlee,1526,218,,,,,,,,,,,,,,,1,,,26,,0,,,,,,,,,,,,,,,,,,,,,,
Arizona,1936,President,Maricopa,32031,13671,,,,,,,,,,,,,,,123,,,1597,,188,,,,,,,,,,,,,,,,,,,,,,
Arizona,1936,President,Mohave,1814,609,,,,,,,,,,,,,,,11,,,94,,1,,,,,,,,,,,,,,,,,,,,,,
Arizona,1936,President,Navajo,3037,1052,,,,,,,,,,,,,,,15,,,35,,3,,,,,,,,,,,,,,,,,,,,,,
Arizona,1936,President,Pima,12249,6079,,,,,,,,,,,,,,,43,,,178,,41,,,,,,,,,,,,,,,,,,,,,,
Arizona,1936,President,Pinal,3498,1216,,,,,,,,,,,,,,,7,,,136,,11,,,,,,,,,,,,,,,,,,,,,,
Arizona,1936,President,Santa Cruz,1729,742,,,,,,,,,,,,,,,3,,,53,,3,,,,,,,,,,,,,,,,,,,,,,
Arizona,1936,President,Yavapai,6628,2794,,,,,,,,,,,,,,,22,,,450,,32,,,,,,,,,,,,,,,,,,,,,,
Arizona,1936,President,Yuma,3428,976,,,,,,,,,,,,,,,17,,,168,,10,,,,,,,,,,,,,,,,,,,,,,
Arizona,1940,President,Apache,1969,926,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Arizona,1940,President,Cochise,8748,3170,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,
Arizona,1940,President,Coconino,3025,1913,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,
Arizona,1940,President,Gila,5752,2624,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,
Arizona,1940,President,Graham,3130,1161,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,
Arizona,1940,President,Greenlee,2175,619,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,
Arizona,1940,President,Maricopa,35055,22610,,,,,,,,,,,,,,,,,,,,414,,,,,,,,,,,,,,,,,,,,,,
Arizona,1940,President,Mohave,2024,1198,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Arizona,1940,President,Navajo,3052,1533,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
Arizona,1940,President,Pima,14035,9445,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,
Arizona,1940,President,Pinal,4411,1996,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,
Arizona,1940,President,Santa Cruz,1536,978,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Arizona,1940,President,Yavapai,6217,3987,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,
Arizona,1940,President,Yuma,4138,1870,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,
Arizona,1944,President,Apache,1238,728,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Arizona,1944,President,Cochise,6935,3371,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,
Arizona,1944,President,Coconino,2236,1786,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
Arizona,1944,President,Gila,4818,2260,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,
Arizona,1944,President,Graham,2393,1151,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
Arizona,1944,President,Greenlee,1956,739,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,
Arizona,1944,President,Maricopa,32197,24853,,,,,,,,,,,,,,,,,,,,208,,,,,,,,,,,,,,,,,,,,,,
Arizona,1944,President,Mohave,1303,974,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
Arizona,1944,President,Navajo,2660,1579,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,
Arizona,1944,President,Pima,13006,10850,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,
Arizona,1944,President,Pinal,3026,1909,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,
Arizona,1944,President,Santa Cruz,1291,727,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
