State,Year,Office,County,D#,R#,Proh.#,Pop.#,S#,Comm.#,SW#,SL#,FL#,Prog.#,Nat.#,UR#,UC#,Cont.#,Ind.#,ST#,Wor.#,WW#,CL#,Cit.#,Labor#,Sol.#,NA#,New#,U#,ID#,SD#,C#,I1#,I2#,Ref.#,NL#,G#,L#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,W/I9#,IR#,CON#,LLMR#,LWB#,WC#,HL#,PP#,AN#,Liberty#,HCR#,IND#,Coop#,Liberal#,CWL#,S&L#
Illinois,1922,Treasurer,Ford,692,3255,,,26,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Franklin,5283,6618,,,602,,,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Fulton,5969,7269,,,471,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Gallatin,2130,1477,,,21,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Greene,2924,2179,,,20,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Grundy,1395,3475,,,51,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Hamilton,3274,2898,,,31,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Hancock,4743,5484,,,37,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Hardin,1379,1312,,,12,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Henderson,890,2294,,,23,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Henry,3074,7540,,,200,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Iroquois,2365,5628,,,63,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Jackson,4800,5580,,,88,,,,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Jasper,3288,2698,,,41,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1922,Treasurer,Jefferson,5296,5108,,,71,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
